I_ACTION
Evento_lema	Frecuencia
ask	6775
look	6157
call	3513
try	3336
help	2088
speak	1861
seek	1211
attempt	1016
promise	991
accept	918
mean	847
assure	838
offer	819
fail	790
prevent	780
allow	765
press	745
pray	726
agree	700
wonder	666
explain	643
demand	640
choose	639
avoid	624
order	613
touch	596
permit	567
point	567
declare	565
intend	563
approach	551
propose	540
suggest	516
send	508
doubt	470
persuade	447
compel	447
urge	433
effort	349
delay	302
warn	301
face	299
appeal	293
recommend	293
complain	282
establish	276
show	275
claim	275
deny	272
state	265
conclude	259
name	255
invite	241
serve	241
assist	230
clear	221
overcome	219
pronounce	216
accuse	211
insist	209
manage	208
assume	205
threaten	205
tear	202
plead	201
approve	199
decide	192
request	190
convince	189
catch	163
burn	148
decline	142
oppose	135
pledge	134
describe	125
resist	120
question	116
deal	115
arrange	115
direct	111
pursue	110
acknowledge	108
attribute	105
beat	105
guard	99
forbid	98
regain	96
blame	93
announce	93
determine	89
extend	86
avert	78
hail	71
support	67
rule	66
mount	59
influence	55
record	55
design	53
speculate	53
elect	51
explore	50
reason	47
aim	45
block	45
require	45
allege	43
indicate	41
investigate	41
hire	40
ensure	39
estimate	35
listen	34
predict	34
bar	33
run	31
postpone	30
engage	27
reject	27
organize	26
concede	26
note	26
push	25
brim	25
set	25
promote	24
handle	23
mislead	21
ignore	20
applaud	17
cope	17
tolerate	16
denounce	16
make	15
authorize	13
resolve	12
comment	12
force	11
nullify	11
notify	9
head	9
distort	8
appear	8
disclose	8
limit	7
encouragement	7
part	6
charge	6
post	6
apply	6
accord	6
negotiate	5
proposal	5
verify	5
control	5
honor	5
analyze	5
stem	4
expand	4
discuss	3
rumore	3
develop	3
stall	2
witness	2
embrace	2
ward	2
suspect	2
agreement	2
prepare	2
calling	1
dignify	1
leak	1
convene	1
sense	1
consolidate	1
pressure	1
evaluate	1
grip	1
