I_STATE
Evento_lema	Frecuencia
think	17455
know	9925
seem	6818
want	5085
believe	3830
like	3245
hope	2450
become	2387
appear	2144
expect	1930
suppose	1694
consider	1421
please	1256
wonder	893
allow	882
fear	689
prepare	581
need	562
understand	534
surprise	531
require	523
stand	521
help	488
suspect	464
obtain	450
aware	393
commit	292
concern	282
find	249
able	248
fail	245
mean	226
enable	212
yield	204
shock	186
regret	184
owe	176
face	171
meet	154
plan	150
worry	144
intend	132
afraid	124
approach	117
suggest	116
presume	107
deprive	101
achieve	98
view	96
anxiou	94
feel	71
close	69
stay	68
careful	68
suffer	63
sufficient	60
run	59
will	56
anticipate	55
rely	54
listen	53
aim	51
constrain	45
seek	45
get	44
involve	41
reflect	41
entitle	39
estimate	36
agreement	35
realize	34
wait	34
happy	34
unwil	32
dismay	31
reach	29
affect	28
unhappy	23
oppose	23
assure	22
control	21
experience	20
subject	17
prefer	17
comply	17
qualify	16
protest	16
dependent	16
confident	16
love	16
wish	15
forget	14
guess	14
favore	14
eager	14
difficult	13
prohibit	12
speculate	12
foresee	10
perceive	10
press	10
cautiou	9
mention	9
care	9
agree	9
force	9
walk	8
win	8
offensive	8
learn	8
reluctant	8
sense	7
distract	7
reserve	7
loom	7
favor	7
persuade	6
keen	6
value	6
observe	6
turn	6
smile	6
'e	6
provide	5
make	5
smoke	5
dare	5
stir	5
fit	5
recollect	5
seed	5
forgive	5
dream	4
consummate	4
teach	4
notice	4
choose	4
wear	4
fret	4
attribute	4
ease	4
unfair	4
knaw	4
design	4
cry	4
refuse	4
facilitate	4
admit	4
touch	3
argue	3
witness	3
account	3
desire	3
sit	3
trust	3
catch	3
wake	3
pretend	3
spare	3
kiss	3
cease	3
imagine	3
deserve	3
hesitate	3
relent	2
count	2
smell	2
bother	2
sin	2
question	2
vary	2
authorize	2
weep	2
swerve	2
dine	2
sleep	2
inquire	2
square	2
jolly	2
resemble	2
rain	2
comment	2
boil	2
shine	2
trouble	2
admire	2
recognise	2
hate	2
thank	2
condescend	2
meddle	2
burn	2
betray	2
overcome	2
cross	2
gaze	2
glad	2
spoil	2
blame	2
perish	2
avail	2
show	2
clear	2
possess	2
cant	1
evince	1
fancy	1
recall	1
weary	1
cosset	1
yourselve	1
scream	1
shudder	1
allege	1
hawk	1
vulnerable	1
personal	1
conditional	1
shun	1
uncomfortable	1
waste	1
dig	1
chatter	1
grumble	1
cosey	1
rush	1
encourage	1
tidy	1
paint	1
faileth	1
trespass	1
interest	1
unjust	1
better	1
layer	1
glance	1
converse	1
unfortnet	1
knowd	1
fade	1
fun	1
manifest	1
sound	1
undergo	1
watch	1
complain	1
praise	1
thot	1
ax	1
b'lieve	1
label	1
'tall	1
exert	1
resent	1
rich	1
flap	1
ai	1
tangle	1
taste	1
snore	1
swear	1
forecast	1
grudge	1
wath	1
entertain	1
wire	1
lay	1
display	1
“assume	1
shew	1
fulfil	1
cherish	1
remind	1
exist	1
pity	1
infatuate	1
proof	1
dislike	1
beat	1
re-serve	1
tire	1
pledge	1
thocht	1
stare	1
judge	1
cheat	1
punish	1
revert	1
deviate	1
excite	1
obliterate	1
bestir	1
advise	1
mine	1
intercede	1
scamper	1
linger	1
arise	1
repine	1
reproach	1
thaw	1
blab	1
blush	1
banish	1
devote	1
divine	1
curse	1
advance	1
drink	1
allude	1
interfere	1
alarm	1
triumph	1
impart	1
empower	1
desert	1
dwell	1
ingros	1
fondle	1
remonstrate	1
pen	1
inactive	1
trifle	1
saddle	1
chaperon	1
assert	1
curiou	1
grieve	1
bore	1
adore	1
enjoy	1
long	1
endow	1
conjecture	1
expose	1
repeat	1
discord	1
torture	1
doubt	1
consent	1
sat on	1
shout	1
 because	1
mistrust	1
comfort	1
pain	1
undervalue	1
civilise	1
enter	1
accomplish	1
toss	1
amuse	1
dog	1
quiver	1
flinch	1
you’re	1
bloom	1
nourish	1
beckon	1
prevent	1
pardon	1
slumber	1
reason	1
perform	1
pronounce	1
grasp	1
dance	1
artful	1
aspire	1
