OCCURRENCE
Evento_lema	Frecuencia
go	18628
come	18268
make	14919
do	13964
take	13500
give	9621
get	8286
find	8004
know	5732
turn	5586
feel	5255
look	5075
speak	4907
return	4764
bring	4446
put	4274
cry	4178
pass	4026
left	4026
talk	3889
wish	3795
let	3783
sit	3680
meet	3670
stand	3564
answer	3547
leave	3315
fall	3294
write	3195
walk	2916
love	2663
rise	2633
exclaim	2622
set	2546
remember	2500
draw	2469
hold	2390
read	2354
send	2324
break	2224
wait	2209
lose	2207
receive	2194
change	2173
throw	2144
laugh	2038
understand	2008
grow	1996
show	1985
live	1958
run	1953
forget	1953
lead	1920
marry	1917
carry	1914
work	1862
bear	1834
move	1828
observe	1823
used	1743
follow	1730
visit	1706
shake	1596
lay	1595
die	1584
strike	1551
play	1540
smile	1520
watch	1513
mean	1497
care	1496
listen	1492
reach	1444
happen	1419
become	1387
drive	1375
save	1367
catch	1317
layer	1280
repeat	1278
pay	1239
learn	1234
raise	1229
place	1217
close	1192
stay	1187
wear	1165
call	1159
round	1120
lie	1104
arrive	1086
use	1068
thank	1067
act	1038
proceed	1002
suffer	991
fill	988
spend	988
address	983
refuse	962
discover	961
hang	926
mind	926
trust	919
enjoy	913
sleep	911
beg	909
cause	900
inquire	899
pause	896
fix	894
perceive	892
drop	885
imagine	879
cut	876
oblige	869
settle	857
kiss	857
whisper	847
shut	835
utter	834
prove	832
dress	804
form	796
eat	795
join	790
attend	789
don’t	783
occupy	780
teach	775
produce	774
admit	772
paid	770
engage	767
desire	754
mention	753
rest	745
forgive	745
possess	744
interrupt	743
seat	735
cross	728
treat	723
cast	722
glance	721
present	720
determine	718
hide	714
render	712
notice	709
accompany	704
suppose	703
gather	701
lift	699
remark	698
bend	684
cease	682
regard	682
buy	677
tremble	665
hurry	662
satisfy	662
open	661
putt	660
succeed	660
gaze	654
admire	649
lean	649
rush	647
conceal	644
deal	644
gain	634
advance	634
offer	629
dare	626
fancy	626
force	624
spare	616
pull	615
guess	613
drink	607
remove	603
bound	603
win	595
ride	594
pursue	593
stare	584
fly	578
murmur	576
sell	566
kill	563
increase	559
resolve	557
hurt	556
born	551
hasten	550
struggle	550
search	548
seize	544
part	535
departure	533
steal	527
hesitate	523
cover	522
shine	522
fight	521
hate	518
miss	517
belong	515
light	515
confess	514
afford	514
arrange	514
fling	512
conversation	507
introduce	506
judge	500
depart	494
push	490
weep	490
bore	485
pick	485
sink	485
behold	481
express	476
occur	476
pour	473
delight	464
retire	463
serve	463
stretch	462
sing	461
knock	460
excite	459
explain	459
mistake	457
recognise	455
relieve	454
quit	454
endure	453
withdraw	452
convey	452
burst	451
devote	451
wander	449
bless	449
dine	445
bow	444
acquaint	443
touch	442
obey	441
speech	441
descend	440
hand	440
appear	439
venture	438
entertain	438
ejaculate	437
rouse	435
dream	434
frighten	433
secure	433
incline	433
dispose	432
remind	428
mark	426
disappear	422
bury	420
disturb	420
betray	420
induce	420
examine	419
support	419
amuse	418
sound	416
perform	415
swear	414
reflect	411
beat	411
drag	410
prefer	410
lock	409
apply	408
blow	405
fit	405
deserve	402
stir	402
arise	400
shoot	400
interview	399
suit	397
experience	397
provide	397
convince	396
dance	393
please	392
death	392
decide	390
conduct	390
communicate	390
slip	386
contain	386
reveal	383
employ	382
enter	382
discuss	381
behave	379
los	379
roll	379
breathe	378
dwell	378
fetch	373
startle	373
sweep	373
stick	373
count	368
sigh	366
encourage	364
alter	364
travel	364
escap	363
thrust	363
share	361
conceive	361
cling	358
build	357
obtain	356
long	354
check	353
nod	353
recover	353
retain	351
re-cover	351
rejoin	350
respect	349
destroy	349
accustom	347
restore	346
mutter	344
creep	344
pretend	342
affect	341
connect	341
request	338
trouble	334
command	334
clasp	334
deceive	331
linger	331
spread	330
undertake	330
recollect	329
ruin	328
escape	326
bid	326
owe	326
ring	326
manage	325
comprehend	324
endeavour	324
astonish	323
adopt	323
dread	322
vanish	322
supply	322
shrink	321
separate	321
consent	321
alarm	321
waste	321
grieve	320
burn	320
exist	319
represent	318
attract	318
attack	317
excuse	314
blush	313
enable	313
interfere	313
wake	312
comfort	312
occasion	311
last	310
deliver	308
prepare	308
conviction	308
fear	304
encounter	304
allude	304
consult	302
rejoice	301
disappoint	300
require	300
refer	299
welcome	298
commence	297
paint	297
attach	294
purchase	294
sank	293
offend	291
leap	290
ascertain	290
describe	288
lend	288
grant	287
indulge	286
advise	286
bestow	284
contemplate	284
spoil	283
absorb	282
depend	282
grasp	280
flash	279
annoy	279
await	278
dislike	275
sob	274
shout	273
sprang	272
can’t	272
heart	271
calculate	271
accomplish	271
object	270
distinguish	269
tie	269
recall	269
flow	269
jump	268
implore	268
display	267
assume	267
kneel	266
study	266
arrest	266
awake	266
smoke	266
despise	265
create	265
inform	262
desert	262
quarrel	261
exchange	260
pity	260
inspire	260
dismiss	259
plunge	259
improve	258
repair	257
gratify	256
cheer	256
soothe	255
conquer	255
collect	253
rang	253
earn	252
compose	252
sacrifice	251
impress	250
direct	249
furnish	249
sign	247
wash	246
flush	246
wind	246
echo	244
decision	243
release	242
tire	240
ceremony	239
rub	238
stoop	237
charge	237
contrive	236
agitate	235
battle	235
step	234
add	234
justify	234
wave	233
submit	233
expose	232
preserve	232
account	232
console	231
strive	231
vex	230
face	230
tear	229
puzzle	229
fold	228
neglect	228
fasten	227
trace	227
procure	227
dash	226
injure	226
detain	226
snatch	223
rob	223
proposal	222
trial	222
blame	220
bewilder	220
embrace	219
wipe	218
flatter	218
climb	217
argue	217
crush	216
greet	216
appreciate	215
persist	215
tempt	214
reduce	214
murder	214
deem	213
survey	213
elapse	213
matter	213
reply	212
soften	212
flee	212
realize	212
awaken	211
exhibit	211
swallow	210
imply	210
divide	209
mount	209
brighten	208
action	208
entreat	207
hinder	206
acquire	206
exhaust	206
yield	204
question	204
shudder	202
float	202
mingle	201
recognize	201
drown	199
wrapped	199
discovery	199
toss	198
clear	198
be	198
resist	198
lower	198
nurse	197
fade	197
summons	196
starve	195
punish	193
exercise	193
detect	192
guide	192
arrival	192
haunt	191
converse	191
interpose	190
protest	190
sate	190
issue	189
practise	189
honour	189
protect	189
resign	189
hint	189
confide	188
colour	188
invite	187
reckon	186
defend	185
retreat	185
prevail	184
hit	184
march	183
back	183
pardon	183
pace	182
shrank	182
extend	182
condemn	181
develop	181
tend	180
sustain	180
maintain	179
appoint	179
surprise	179
reproach	179
forbid	178
crowd	177
proclaim	177
weigh	176
realise	175
respond	174
dart	174
charm	174
ascend	173
have	173
resolution	173
sail	172
repent	172
pack	172
emerge	171
preach	170
scream	169
warm	169
overhear	169
lit	169
subdue	168
rattle	167
borrow	167
muse	167
announcement	167
quiver	166
assemble	166
revive	165
praise	165
sang	165
leane	165
spring	164
retort	164
anticipate	163
restrain	163
decline	162
shiver	161
shed	161
perplex	161
aid	160
kick	159
undergo	159
rescue	159
resent	158
content	158
penetrate	158
consist	158
choke	157
exert	157
gasp	156
attain	156
fulfill	155
appeal	155
involve	155
provoke	153
cherish	153
head	153
insult	153
overtake	153
irritate	152
stamp	152
demand	150
interest	150
bed	150
stroll	150
educate	150
bade	149
commit	149
doubt	149
silence	148
labour	148
suffice	148
select	147
dry	147
meditate	147
profess	147
breed	146
tread	146
inflict	146
impart	146
wring	145
groan	144
mourn	144
partake	144
confine	144
master	144
taste	144
lodge	144
effect	144
banish	143
replace	143
divine	143
swell	143
unite	143
surround	143
prompt	142
brush	142
correct	141
scold	141
strengthen	141
assent	141
ensue	140
congratulate	140
invent	139
clean	139
fire	139
reside	139
melt	138
glide	138
avail	138
curse	137
envy	136
displease	136
dispute	135
oppress	135
overwhelm	134
wound	134
won’t	134
compare	133
arouse	133
twist	132
favour	132
execute	131
match	131
swing	130
didn’t	130
weary	129
relax	128
divert	128
ponder	128
seal	128
faint	127
shew	127
worship	127
bite	126
grumble	126
terrify	126
hunt	126
perish	125
will	125
reconcile	125
knaw	125
alight	125
occupation	124
adore	124
risk	124
vow	123
suppress	123
roar	123
peep	123
discharge	123
crisi	123
