REPORTING
Evento_lema	Frecuencia
say	46789
tell	10644
reply	3069
add	2187
express	575
show	483
accord	428
mention	379
announce	357
declare	302
inform	281
confirm	250
insist	231
learn	205
recall	184
indicate	178
acknowledge	165
note	156
report	151
describe	137
deny	133
post	118
deliver	83
assert	69
observe	63
disclose	55
quote	54
give	41
include	30
draw	30
state	26
project	17
affirm	15
write	14
claim	14
telegraph	12
saith	9
maintain	8
cite	8
chant	8
emphasize	5
leak	3
advance	2
announced	1
gloss	1
specify	1
present	1
