STATE
Evento_lema	Frecuencia
have	8224
be	1419
remain	844
feel	743
hold	561
own	486
glad	408
live	199
los	183
war	156
maintain	135
good	134
capable	126
cost	114
happy	101
affect	98
fair	90
mix	88
better	83
serve	74
control	68
due	68
relate	67
enjoy	52
intensity	45
sure	45
result	44
likely	41
wait	39
successful	34
belong	33
responsible	33
worth	33
full	29
wrong	29
owe	27
off	26
curiou	26
unknown	26
content	25
silent	25
represent	24
necessary	23
independent	22
conviction	22
greater	21
on	21
equal	21
weak	21
thankful	21
low	18
seriou	17
proud	17
long	17
ashame	16
mad	16
sorry	16
true	16
value	15
inevitable	15
interest	15
useful	15
worse	15
ill	14
consciou	14
complete	14
uneasy	14
saturate	13
excellent	13
absent	12
foolish	12
bad	12
part	12
welcome	12
much	12
lack	12
cautiou	11
dead	11
fond	11
offensive	11
embrace	11
quiet	10
difficulty	10
lower	9
gain	9
old	9
fortunate	9
disappoint	9
plague	8
open	8
wrought	8
outcome	8
trouble	7
doubtful	7
civil	7
brief	7
busy	7
tie	7
miserable	6
hard	6
great	6
near	6
intimate	6
deep	6
blind	6
ready	6
wise	6
rich	6
cold	6
exceed	6
possible	6
angry	6
here	6
stay	6
flat	6
abandon	6
jealou	6
cheerful	5
derive	5
agreeable	5
cruel	5
clever	5
plain	5
delightful	5
weaknes	5
gay	5
unable	5
fatal	5
compare	5
secure	5
round	4
insensible	4
consistent	4
powerles	4
dangerou	4
little	4
out	4
pressure	4
liberal	4
innocent	4
hath	4
fresh	4
slow	4
grip	4
grateful	4
comfortable	4
punctual	4
incapable	4
sensible	4
larger	4
afear	4
spell	4
superior	4
pleasant	4
painful	4
safe	4
candid	4
include	4
sick	3
quick	3
empty	3
beautiful	3
bitter	3
trap	3
wiser	3
useles	3
ripe	3
liable	3
young	3
situation	3
profitable	3
available	3
happier	3
disagreeable	3
unnatural	3
easy	3
range	3
convalescent	3
sharp	3
asleep	3
honest	3
close	3
impossible	3
high	3
only	3
faithful	3
hot	3
present	3
impatient	3
calm	3
intense	3
worthy	3
favourable	3
visible	3
answerable	3
eligible	3
base	3
deficient	3
hereditary	3
famou	3
competent	2
dumb	2
superstitiou	2
indispensable	2
rude	2
splendid	2
sentimental	2
unconsciou	2
frank	2
perceptible	2
poor	2
troublesome	2
loath	2
bright	2
irresistible	2
wont	2
expressive	2
delicate	2
narrow	2
hasty	2
wonderful	2
truce	2
careles	2
false	2
damage	2
peculiar	2
crise	2
wild	2
incongruou	2
sweet	2
in	2
impracticable	2
small	2
radiant	2
alert	2
awake	2
inexorable	2
drink	2
merry	2
wet	2
audible	2
amiable	2
uncomfortable	2
suspiciou	2
evident	2
injuriou	2
particular	2
severe	2
big	2
steady	2
graciou	2
perfect	2
ambitiou	2
dreadful	2
paramount	2
familiar	2
charitable	2
flaw	2
fool	2
heavy	2
passive	2
nigh	2
patient	2
replete	2
indistinct	2
dear	2
convenient	2
ignorant	2
justifiable	2
belove	2
savage	2
indulgent	2
intolerable	2
guilty	2
absurd	2
upstair	2
indebt	2
handsome	2
invisible	2
apparent	2
unfound	2
vacant	2
oblige	2
wic	2
late	2
impertinent	2
enthusiastic	2
mine	2
nice	2
brave	2
attentive	2
objectionable	2
watchful	2
perpetual	2
sincere	2
naught	1
hurtful	1
prosperou	1
windy	1
tangible	1
stationary	1
halfway	1
funny	1
ramshackly	1
earnest	1
our	1
bare	1
mysteriou	1
rotten	1
filthy	1
heedles	1
prolong	1
treacherou	1
smart	1
further	1
awry	1
tranquil	1
indefensible	1
popular	1
triumphant	1
speechles	1
corrupt	1
imaginary	1
unmove	1
impend	1
lawful	1
eminent	1
idiomatic	1
considerable	1
motherly	1
moderate	1
sunny	1
valid	1
courageou	1
perniciou	1
credulou	1
felicitou	1
considerate	1
restles	1
languid	1
desolate	1
uncivil	1
weary	1
cosmopolitan	1
hopeful	1
abundant	1
natural	1
satirical	1
incomplete	1
comparable	1
petty	1
disproportionate	1
injudiciou	1
sarcastic	1
absolute	1
scriptural	1
feature	1
fluent	1
preliminary	1
penniles	1
repellent	1
effectual	1
unfriendly	1
unjust	1
blamable	1
vigorou	1
mild	1
dry	1
reasonable	1
clean	1
intemperate	1
haggard	1
sound	1
vile	1
indescribable	1
wary	1
astonish	1
large	1
amuse	1
conspicuou	1
churlish	1
boss	1
frantic	1
unreal	1
jolly	1
enviou	1
latin	1
secretive	1
amaze	1
profit	1
prompt	1
patent	1
unlucky	1
chivalrou	1
renewable	1
lively	1
reminiscent	1
inexperience	1
frosty	1
English	1
traceable	1
grave	1
passable	1
dirty	1
strange	1
safer	1
last	1
worldly	1
forgetful	1
anxious.”	1
trustworthy	1
timid	1
scornful	1
lost.”	1
satisfactory	1
alive	1
foremost	1
pale	1
exemplary	1
salutary	1
tidy	1
dark	1
idle	1
luxuriou	1
dying-	1
inferior	1
conceit	1
confirm	1
temperate	1
fret	1
piteou	1
feasible	1
senseles	1
susceptible	1
thirsty	1
real	1
cranky	1
sinles	1
fust	1
come	1
vital	1
bold	1
tall	1
extravagant	1
fairer	1
indignant	1
reclad	1
purchaseable	1
obedient	1
polite	1
weaker	1
conversational	1
solid	1
mute	1
inaudible	1
controversial	1
payable	1
pathetic	1
awkward	1
colourles	1
uncomplimentary	1
sane	1
public	1
criminal	1
madder	1
illogical	1
northern	1
morbid	1
unpleasant	1
notable	1
wearable	1
trivial	1
subservient	1
eccentric	1
emotional	1
stern	1
humble	1
alone	1
weakly	1
shallow	1
silly	1
pertinaciou	1
dizzy	1
undisturb	1
guardian	1
lazy	1
selfish	1
rational	1
wilful	1
provoke	1
healthy	1
comforted-	1
unfit	1
fanciful	1
certain	1
fretful	1
musical	1
generou	1
unconscionable	1
helples	1
duty	1
critical	1
puttin’	1
delusive	1
precociou	1
canny	1
beneficial	1
rabid	1
magnanimou	1
transparent	1
unacceptable	1
convertible	1
