I_ACTION
Evento_lema	Frecuencia
look	247
ask	93
help	80
call	68
permit	51
demand	51
speak	48
approach	44
attempt	43
promise	37
prevent	35
seek	33
intend	32
assure	32
order	31
fail	30
try	28
assist	27
suggest	26
doubt	26
point	25
offer	23
pray	22
name	22
press	20
agree	20
explain	19
pronounce	19
touch	18
persuade	18
delay	17
declare	17
effort	17
send	17
accept	16
threaten	14
avoid	13
describe	13
state	11
choose	11
urge	11
propose	10
mean	10
approve	10
serve	9
pledge	9
recommend	9
conclude	8
complain	8
deny	7
indicate	7
show	7
manage	7
request	6
assume	6
catch	6
direct	6
allow	5
plead	5
extend	5
announce	5
hire	5
question	5
mount	5
hail	4
pursue	4
convince	4
decide	4
resist	4
insist	4
invite	3
oppose	3
attribute	3
run	3
avert	3
face	3
claim	3
tear	3
establish	3
beat	3
set	3
warn	3
wonder	3
predict	3
determine	2
blame	2
acknowledge	2
listen	2
record	2
burn	2
estimate	2
guard	2
compel	2
arrange	2
regain	2
support	2
accuse	2
attempting	1
tolerate	1
push	1
speculate	1
require	1
influence	1
ensure	1
forbid	1
postpone	1
limit	1
design	1
deal	1
rule	1
appeal	1
applaud	1
decline	1
overcome	1
