I_STATE
Evento_lema	Frecuencia
think	508
know	355
seem	197
want	148
believe	118
like	104
hope	86
please	77
appear	60
expect	48
become	47
suppose	45
consider	39
fear	38
suspect	25
wonder	22
prepare	19
obtain	19
understand	13
approach	13
stand	13
aware	12
able	12
require	10
concern	8
surprise	8
yield	7
commit	7
owe	7
sufficient	6
find	6
enable	6
help	6
shock	5
suffer	5
fail	5
mean	4
need	4
will	4
intend	3
allow	3
stay	3
run	3
meet	3
close	2
anxiou	2
suggest	2
listen	2
guess	2
plan	2
hoped	1
feel	1
estimate	1
value	1
mention	1
smell	1
reflect	1
worry	1
entitle	1
seek	1
cosset	1
unhappy	1
protest	1
careful	1
involve	1
face	1
realize	1
question	1
yourselve	1
make	1
vary	1
scream	1
presume	1
deprive	1
constrain	1
happy	1
perceive	1
shudder	1
