I_ACTION
Evento_lema	Frecuencia
look	164
ask	117
try	97
call	72
attempt	56
speak	46
avoid	42
pray	35
intend	29
allow	27
accept	26
offer	25
approach	24
assume	24
promise	22
seek	22
propose	21
point	20
complain	19
prevent	18
order	18
help	18
recommend	17
declare	14
persuade	14
doubt	13
fail	13
claim	12
tear	12
assure	12
threaten	11
show	11
establish	11
delay	11
permit	10
effort	10
agree	10
wonder	9
convince	9
mean	9
suggest	8
choose	8
request	8
conclude	8
assist	8
deny	8
invite	7
arrange	7
pursue	7
attribute	7
warn	7
send	7
estimate	6
accuse	6
serve	6
investigate	6
touch	6
direct	6
name	6
explain	6
acknowledge	6
regain	5
insist	5
allege	5
decline	4
appeal	4
overcome	4
pledge	4
burn	4
engage	4
reject	4
urge	4
press	4
rule	3
pronounce	3
manage	3
aim	3
hire	3
extend	3
postpone	3
record	2
face	2
tolerate	2
catch	2
approve	2
resist	2
require	2
influence	2
announce	2
indicate	2
called	1
block	1
blame	1
honor	1
speculate	1
applaud	1
avert	1
forbid	1
reason	1
state	1
push	1
analyze	1
support	1
agreement	1
promote	1
explore	1
brim	1
mislead	1
question	1
disclose	1
describe	1
clear	1
