I_STATE
Evento_lema	Frecuencia
seem	368
think	309
become	229
know	154
believe	120
appear	113
consider	87
hope	80
expect	75
like	51
wonder	37
suppose	35
allow	34
please	34
suspect	25
want	24
surprise	21
obtain	19
fear	16
meet	14
prepare	14
owe	14
commit	11
stand	11
intend	11
need	10
require	10
aware	10
understand	8
shock	7
find	7
deprive	5
entitle	5
mean	5
achieve	5
view	5
fail	5
able	4
approach	4
suffer	4
estimate	3
regret	3
smile	3
help	3
wait	3
happy	3
favore	3
plan	3
anxiou	2
forget	2
rely	2
realize	2
afraid	2
presume	2
feel	2
aim	2
suggest	2
mention	2
involve	2
run	2
stir	2
will	2
assure	2
expected	1
face	1
prohibit	1
concern	1
sufficient	1
anticipate	1
pardon	1
slumber	1
agreement	1
wish	1
learn	1
value	1
persuade	1
reason	1
prefer	1
forgive	1
dare	1
deserve	1
loom	1
favor	1
reflect	1
perform	1
spoil	1
pronounce	1
observe	1
teach	1
listen	1
stay	1
grasp	1
dance	1
yield	1
shine	1
artful	1
force	1
blame	1
