OCCURRENCE
Evento_lema	Frecuencia
make	292
give	248
do	231
take	228
find	199
come	181
feel	165
observe	145
wish	135
speak	131
turn	130
go	127
let	120
exclaim	117
love	104
look	99
know	95
live	94
meet	94
become	91
throw	89
pass	89
leave	88
die	88
forget	86
bring	86
remember	82
return	82
marry	81
fall	79
talk	74
get	71
receive	68
laugh	64
enjoy	63
lose	63
stand	62
put	60
cause	59
admire	59
break	58
wear	58
listen	58
left	57
fix	57
carry	56
follow	55
discover	53
hurry	51
gaze	51
set	50
rush	50
change	50
read	49
grow	49
place	49
draw	48
fill	48
watch	48
rise	47
trust	46
respect	46
visit	46
astonish	45
write	44
act	44
conceal	44
close	43
walk	43
remark	41
pay	40
send	40
arise	40
whisper	40
lead	39
increase	38
raise	37
reach	37
betray	37
round	37
engage	37
perceive	37
care	37
spend	36
suffer	36
drive	35
sit	34
deserve	34
smile	34
wait	34
understand	33
play	33
form	33
render	32
oblige	32
answer	32
testify	31
run	30
amuse	30
assume	30
arrive	30
treat	29
mention	29
glance	29
layer	29
paid	28
behold	28
bestow	28
strike	27
pursue	27
advance	27
utter	27
express	27
born	27
seat	26
endure	26
offer	26
fly	26
imagine	26
desire	25
cut	25
bury	25
display	25
suit	25
dress	25
startle	25
teach	25
glitter	25
save	25
mistake	25
venture	24
occupy	24
introduce	24
prove	24
bear	24
used	24
excite	24
trace	24
gather	24
accompany	24
accustom	24
interrupt	24
fancy	24
force	23
satisfy	23
catch	23
hate	23
ascertain	23
spare	23
discuss	23
pour	23
afford	22
drop	22
destroy	22
occasion	22
escap	22
steal	22
delight	22
attend	22
agitate	22
awaken	22
proceed	22
clasp	22
hasten	22
support	21
gain	21
cover	21
search	21
remind	21
devote	21
succeed	21
conversation	21
exist	21
happen	21
lay	21
fit	20
suppose	20
hold	20
cast	20
guess	20
occur	20
refuse	20
enliven	20
tremble	20
endeavore	20
learn	19
grasp	19
produce	19
shoot	19
appear	19
show	19
restore	19
flatter	19
please	19
dance	19
weep	19
burst	19
cease	19
determine	19
waste	19
depart	19
disappear	18
deceive	18
