I_ACTION
Evento_lema	Frecuencia
call	79
ask	77
look	66
offer	53
assure	43
permit	38
seek	33
try	31
prevent	29
attempt	27
approach	25
establish	24
touch	23
agree	22
speak	20
accept	19
avoid	19
urge	18
appeal	18
order	17
propose	15
declare	14
press	13
persuade	11
invite	11
intend	11
oppose	9
arrange	9
claim	9
promise	9
assume	8
effort	8
suggest	8
demand	8
pledge	7
decide	6
send	6
fail	6
help	6
doubt	6
attribute	6
organize	6
regain	6
deny	6
concede	5
mean	5
choose	5
manage	5
influence	5
delay	5
point	5
complain	5
recommend	5
extend	5
approve	5
pray	5
announce	5
guard	4
assist	4
acknowledge	4
conclude	4
convince	4
explain	4
catch	4
elect	4
determine	4
resist	3
pursue	3
aim	3
request	3
cope	3
clear	3
postpone	3
beat	2
notify	2
describe	2
predict	2
rule	2
authorize	2
deal	2
plead	2
serve	2
accuse	2
overcome	2
require	2
estimate	2
denounce	2
insist	2
threaten	2
speculate	2
mount	2
support	2
attempted	1
state	1
warn	1
face	1
indicate	1
allege	1
investigate	1
handle	1
design	1
pronounce	1
hail	1
record	1
direct	1
name	1
ensure	1
allow	1
show	1
stem	1
compel	1
reason	1
head	1
forbid	1
decline	1
