I_STATE
Evento_lema	Frecuencia
think	235
seem	170
want	94
know	88
like	78
believe	77
become	74
appear	61
hope	45
expect	27
suppose	24
please	24
prepare	23
obtain	22
require	21
consider	16
wonder	15
fear	14
surprise	13
deprive	9
understand	8
aware	8
need	7
yield	6
anxiou	6
achieve	6
regret	5
concern	4
suspect	4
anticipate	4
plan	4
stand	3
mean	3
view	3
suggest	3
fail	3
approach	3
allow	3
realize	2
seek	2
aim	2
consummate	2
meet	2
shock	2
commit	2
prefer	2
will	2
help	2
presume	2
careful	2
owe	2
difficult	2
enable	2
happy	2
close	2
entitle	1
allege	1
reach	1
worry	1
wish	1
afraid	1
find	1
prohibit	1
experience	1
affect	1
suffer	1
wait	1
authorize	1
feel	1
oppose	1
argue	1
favore	1
weep	1
smoke	1
observe	1
assure	1
win	1
face	1
make	1
dependent	1
able	1
teach	1
swerve	1
get	1
press	1
unhappy	1
unwil	1
