OCCURRENCE
Evento_lema	Frecuencia
make	257
find	216
come	189
do	178
give	170
go	163
take	160
meet	135
wish	110
return	107
feel	103
look	99
speak	95
visit	89
receive	89
pass	85
get	80
arrive	74
turn	72
rise	71
talk	68
know	67
quit	66
observe	64
bring	62
inquire	56
lead	54
love	52
change	51
exclaim	51
left	50
lose	50
become	49
throw	48
reach	47
form	47
write	46
marry	46
move	46
fall	46
address	45
live	43
advance	43
send	41
carry	40
listen	40
distinguish	38
remember	38
follow	38
gain	37
break	37
leave	36
catch	36
place	35
watch	35
read	35
possess	35
draw	34
act	34
admire	33
let	33
produce	33
bow	32
resolve	32
secure	32
succeed	31
die	31
dine	31
sit	31
present	30
walk	30
forget	29
bear	29
support	27
understand	27
care	27
occur	27
bore	27
agitate	26
stand	26
experience	26
pay	26
smile	25
introduce	25
learn	25
ride	25
devote	24
gratify	24
occasion	24
join	24
govern	24
attend	24
engage	24
elapse	23
prove	23
comprehend	23
determine	23
mention	23
recognise	23
put	23
accompany	23
exist	22
play	22
win	22
hold	22
encounter	21
disturb	21
save	21
represent	21
cease	21
occupy	20
mistake	20
drive	20
show	20
exercise	20
commence	20
perplex	20
enter	20
happen	20
treat	20
refuse	20
shake	19
create	19
provide	19
raise	19
welcome	19
desire	19
sing	19
conversation	19
destroy	19
withdraw	19
work	18
appreciate	18
contribute	18
absorb	18
struggle	18
conviction	18
separate	18
contrive	18
revolution	18
amuse	18
retire	18
render	18
beg	18
induce	17
develop	17
increase	17
born	17
fill	17
guide	17
wait	17
express	17
cover	16
sprang	16
maintain	16
intimate	16
oblige	16
travel	16
ceremony	16
interview	16
bound	16
perceive	16
used	16
repair	16
excite	16
mean	16
command	16
sound	16
count	16
conceal	16
seat	16
favour	15
descend	15
discover	15
sustain	15
survey	15
acquaint	15
adopt	15
breathe	15
behold	15
hang	15
furnish	15
suffer	15
deal	15
appear	15
remind	15
use	15
arise	15
require	15
suppose	15
rest	14
convince	14
death	14
entertain	14
perform	14
embrace	14
part	14
inspire	14
trace	14
attract	14
vote	14
communicate	14
usher	13
cross	13
connect	13
refer	13
hate	13
recall	13
cut	13
grow	13
lean	13
decide	13
close	13
revive	13
esteem	13
figure	13
mark	13
flatter	13
celebrate	13
strike	13
run	13
effect	13
steal	13
pursue	13
call	13
wander	13
round	13
prompt	13
interest	13
baffle	13
arrival	13
fix	13
dance	13
fancy	13
set	12
incline	12
settle	12
venture	12
rejoin	12
confess	12
remark	12
consequence	12
summons	12
meditate	12
reside	12
whisper	12
buy	12
astonish	12
stir	12
indulge	12
haunt	12
open	12
afford	12
impress	12
muse	12
detect	12
conceive	12
departure	12
disappear	12
recoil	12
fulfill	12
exhaust	12
enjoy	12
delight	12
preserve	12
sigh	12
linger	12
endeavour	11
canvass	11
calculate	11
admit	11
remove	11
dwell	11
crisi	11
extend	11
surround	11
serve	11
arrange	11
retain	11
consult	11
fight	11
deem	11
supply	11
assume	11
dare	11
bend	11
subside	11
depart	11
endure	11
offer	11
avail	10
ascertain	10
speech	10
deserve	10
invest	10
combine	10
inherit	10
desert	10
cherish	10
affect	10
notice	10
beat	10
vanish	10
bestow	10
gaze	10
answer	10
satisfy	10
appoint	10
frighten	10
encourage	10
build	10
exchange	10
ponder	10
obtain	10
acquire	10
drown	10
divert	10
request	10
assist	10
apply	10
stay	10
resist	10
discuss	9
describe	9
resign	9
hesitate	9
appeal	9
respect	9
bless	9
devise	9
soften	9
proceed	9
re-cover	9
unite	9
limit	9
please	9
owe	9
seize	9
pour	9
accomplish	9
rank	9
glance	9
thank	9
laugh	9
founder	9
conquer	9
saunter	9
share	9
greet	9
study	9
crush	9
prefer	9
examine	9
adorn	8
breed	8
jump	8
convey	8
despair	8
consent	8
style	8
attach	8
teach	8
wind	8
touch	8
inform	8
impart	8
soothe	8
imagine	8
cheer	8
sang	8
recur	8
election	8
los	8
assemble	8
confine	8
obey	8
disperse	8
rang	8
wave	8
trust	8
force	8
conduct	8
escap	8
miss	8
appropriate	8
weary	8
sacrifice	8
imbibe	8
expand	8
worship	8
impel	8
shut	8
sparkle	8
omit	8
evince	8
rush	7
ascend	7
wear	7
weep	7
excel	7
prevail	7
sate	7
paint	7
charm	7
breakfast	7
stare	7
paid	7
restore	7
carve	7
subsist	7
cultivate	7
pick	7
lie	7
collect	7
decline	7
await	7
compensate	7
aggravate	7
respond	7
pull	7
flow	7
dissolve	7
reduce	7
relieve	7
direct	7
aspire	7
influence	7
achieve	7
interfere	7
repeat	7
console	7
conserve	7
converse	7
fit	7
circulate	7
master	7
tremble	7
explain	7
suffuse	7
purchase	7
bequeath	7
injure	7
establish	6
question	6
mount	6
criticise	6
dash	6
sleep	6
contradict	6
extricate	6
decision	6
instruct	6
attain	6
despise	6
persist	6
contemplate	6
witness	6
sank	6
reflect	6
rally	6
subdue	6
chance	6
light	6
labour	6
rival	6
animate	6
accession	6
deposit	6
belong	6
fed	6
blow	6
confer	6
alarm	6
head	6
invite	6
stimulate	6
fascinate	6
tempt	6
contend	6
involve	6
pause	6
arrest	6
prepare	6
honour	6
blend	6
accustom	6
register	6
embarrass	6
announcement	6
quarrel	6
neglect	6
repress	6
doubt	6
substitute	6
hurry	6
rob	6
shoot	6
blush	6
deprive	6
pervade	6
glide	6
fashion	6
announce	6
precede	6
defy	6
displease	6
refrain	6
lend	6
diminish	6
digest	6
anticipate	6
adore	6
execute	5
development	5
illustrate	5
cause	5
elevate	5
exhibit	5
deliver	5
cluster	5
stamp	5
putt	5
violence	5
foster	5
somethe	5
back	5
stud	5
relinquish	5
pluck	5
grant	5
heart	5
nurture	5
charge	5
distract	5
renovate	5
rub	5
crowd	5
detail	5
murmur	5
dislike	5
merge	5
forfeit	5
depend	5
slash	5
destine	5
drink	5
lay	5
flit	5
court	5
re-serve	5
mourn	5
vanquish	5
improve	5
eat	5
burst	5
penetrate	5
intrust	5
range	5
flourish	5
justify	5
cling	5
settlement	5
practise	5
sprung	5
acquisition	5
profess	5
degrade	5
deplore	5
signify	5
spare	5
last	5
adhere	5
contrast	5
pardon	5
manage	5
dismiss	5
rouse	5
plunder	5
regulate	5
bewilder	5
shrink	5
sympathize	5
emerge	5
dream	5
amount	5
harass	5
originate	5
lounge	5
melt	5
discourse	5
divide	5
grieve	5
recognize	5
diffuse	5
deceive	5
educate	5
burn	5
fate	5
flash	5
project	5
lavish	5
recollect	5
revoke	5
pace	4
add	4
utter	4
incident	4
postpone	4
menace	4
tend	4
compose	4
shrank	4
detest	4
roll	4
dread	4
blunder	4
envy	4
traverse	4
allude	4
patronise	4
model	4
doom	4
taste	4
expel	4
reveal	4
irritate	4
depress	4
mind	4
exceed	4
triumph	4
layer	4
flush	4
stretch	4
plunge	4
exaggerate	4
bade	4
employ	4
congratulate	4
extract	4
adapt	4
usurp	4
solicit	4
denounce	4
war	4
spring	4
fling	4
transaction	4
equalle	4
praise	4
consist	4
object	4
abound	4
characterize	4
detain	4
spend	4
stick	4
waste	4
reconcile	4
objection	4
difficulty	4
reply	4
whirl	4
betray	4
swear	4
ascribe	4
operate	4
subscribe	4
action	4
bet	4
confuse	4
violate	4
nod	4
lament	4
persecute	4
disquiet	4
rid	4
aid	4
fulfil	4
bury	4
defend	4
dress	4
accumulate	4
benefit	4
vow	4
sanction	4
surpass	4
yield	4
account	4
hide	4
suit	4
apprise	4
fly	4
mature	4
seal	4
regret	4
modify	4
participate	4
uphold	4
vindicate	4
entail	4
inscribe	3
scatter	3
plant	3
adjust	3
spoil	3
resignation	3
transpire	3
compare	3
dishearten	3
demolish	3
be	3
hasten	3
superintend	3
identify	3
snatch	3
publish	3
qualify	3
creation	3
withstand	3
encircle	3
spread	3
attack	3
astound	3
abuse	3
thrust	3
counter	3
sweep	3
reconstruct	3
load	3
bully	3
upset	3
drop	3
suspect	3
entrance	3
restrain	3
apprehend	3
clog	3
bathe	3
land	3
engross	3
behave	3
array	3
gift	3
gather	3
boast	3
disappoint	3
deign	3
foresee	3
trip	3
discharge	3
impute	3
expend	3
emanate	3
erase	3
search	3
tolerate	3
covet	3
protest	3
prosecute	3
introduction	3
offend	3
chalk	3
borrow	3
vary	3
strengthen	3
screen	3
blast	3
cry	3
pretend	3
silence	3
indispose	3
pump	3
conciliate	3
review	3
mingle	3
refine	3
launch	3
hunt	3
invade	3
intersect	3
shine	3
step	3
illumine	3
shrug	3
startle	3
judge	3
battle	3
long	3
verge	3
combat	3
comprise	3
contain	3
decorate	3
magnify	3
view	3
crown	3
emancipate	3
float	3
captivate	3
endow	3
earn	3
weave	3
stroll	3
free	3
check	3
alter	3
infuse	3
devour	3
sink	3
dissipate	3
deter	3
term	3
temper	3
subject	3
dispose	3
trial	3
sell	3
annoy	3
gleam	3
habituate	3
counsel	3
baulk	3
precipitate	3
embroider	3
swerve	3
resemble	3
transact	3
repeal	3
flee	3
entrust	3
chair	3
balance	3
brush	3
revert	3
assail	3
dictate	3
embark	3
poll	3
hover	3
glitter	3
transform	3
trifle	3
wake	3
reward	3
waft	3
roam	3
evaporate	3
lighten	3
clear	3
dispirit	3
declare	3
destruction	3
disposition	3
sally	3
devolve	3
insure	2
authorise	2
sap	2
intrigue	2
lodge	2
lash	2
content	2
defeat	2
debate	2
undertake	2
associate	2
meeting	2
pride	2
apportion	2
fear	2
paralyse	2
display	2
illuminate	2
cancel	2
sign	2
hoot	2
chat	2
solve	2
hoard	2
patronize	2
soar	2
swagger	2
excuse	2
handle	2
will	2
perpetuate	2
humiliate	2
harangue	2
abdicate	2
enlarge	2
polish	2
sketch	2
tip	2
besiege	2
concentre	2
recount	2
quarter	2
wound	2
match	2
hit	2
fasten	2
swim	2
guard	2
overwhelm	2
infringe	2
accident	2
analyze	2
select	2
levy	2
transfix	2
trouble	2
march	2
summit	2
parade	2
withdrawal	2
crouch	2
insinuate	2
mix	2
imitate	2
discountenance	2
gorge	2
disfranchise	2
confiscate	2
investigation	2
reproduce	2
organize	2
occupation	2
ball	2
conclude	2
commemorate	2
pain	2
book	2
pat	2
concentrate	2
apologize	2
bid	2
interrupt	2
hazard	2
number	2
mar	2
nobody	2
profit	2
accede	2
realize	2
define	2
none	2
paralyze	2
commit	2
quiz	2
condescend	2
institute	2
assault	2
double	2
shroud	2
verse	2
sojourn	2
jostle	2
growth	2
gird	2
colour	2
brood	2
moan	2
shriek	2
gallop	2
dismount	2
fold	2
deify	2
monopolise	2
multiply	2
'the	2
vault	2
condense	2
curb	2
exclude	2
organise	2
house	2
fish	2
entrap	2
discovery	2
submit	2
dispute	2
push	2
abolish	2
phrase	2
characterise	2
undulate	2
oppose	2
canter	2
refresh	2
insist	2
fence	2
peril	2
interpose	2
hange	2
petition	2
engender	2
swallow	2
disregard	2
conjecture	2
oppress	2
supersede	2
lit	2
quiver	2
tint	2
relax	2
scratch	2
hush	2
idolize	2
quicken	2
arrangement	2
journey	2
compete	2
confound	2
expansion	2
elicit	2
damage	2
pal	2
satiate	2
knib	2
presume	2
divorce	2
thrill	2
gush	2
tie	2
hand	2
redouble	2
invasion	2
emigrate	2
race	2
promulgate	2
root	2
exterminate	2
test	2
drag	2
banish	2
stake	2
confide	2
enable	2
resound	2
throng	2
instill	2
fathom	2
redeem	2
coin	2
blazon	2
impair	2
outlive	2
disclaim	2
entreat	2
wither	2
explosion	2
quaff	2
vex	2
surprise	2
bribe	2
confront	2
ameliorate	2
rain	2
muster	2
face	2
reckon	2
copy	2
solace	2
enumerate	2
teem	2
have	2
graduate	2
enunciate	2
subvert	2
beware	2
calm	2
kill	2
trespass	2
chaunt	2
sever	2
inflict	2
dilate	2
perambulate	2
coop	2
partake	2
ring	2
lock	2
renounce	2
dazzle	2
pursuit	2
mislead	2
envelop	2
advantage	2
waver	2
hurt	2
blaze	2
diverge	2
escape	2
reappear	2
repose	2
transfer	2
protect	2
assert	2
profane	2
flood	2
couch	2
wane	2
mitigate	2
allay	2
exult	2
perish	2
recline	2
clean	2
cure	2
pine	2
commune	2
harrow	2
ordain	2
reconciliation	2
conceived	1
dedicate	1
appearance	1
split	1
betoken	1
floreat	1
taint	1
embolden	1
sneak	1
tender	1
arm	1
scare	1
trample	1
rend	1
shatter	1
proclaim	1
squeeze	1
ground	1
benefice	1
massacre	1
scarify	1
distribute	1
canonize	1
jar	1
grate	1
spur	1
coincide	1
wile	1
fetch	1
sadden	1
picture	1
disembarrass	1
emulate	1
glow	1
plenty	1
undergo	1
expose	1
luncheon	1
course	1
closet	1
hiss	1
bolt	1
hark	1
drudge	1
ooze	1
audit	1
ruffle	1
torture	1
overtake	1
sum	1
venison	1
savour	1
disincline	1
stupify	1
appall	1
chew	1
convoke	1
chartism	1
neutralise	1
chide	1
forward	1
outweigh	1
lick	1
disapprove	1
reiterate	1
debar	1
intervene	1
tear	1
treasure	1
graciousnes	1
scan	1
misinterpret	1
scull	1
adjudge	1
dun	1
hallo	1
strain	1
reassume	1
row	1
steer	1
current	1
swamp	1
swoon	1
repay	1
transgress	1
extoll	1
decrease	1
friend	1
denominate	1
swing	1
defile	1
unfurl	1
retort	1
bait	1
slaughter	1
sneer	1
rescind	1
dog	1
abrogate	1
quarry	1
fan	1
mutter	1
recruit	1
arrogate	1
contract	1
shuffle	1
caricature	1
brand	1
outgrow	1
clamour	1
recourse	1
ensnare	1
marvel	1
demonstrate	1
impeach	1
embezzle	1
hoodwink	1
preside	1
class	1
misplace	1
install	1
weed	1
practice	1
testify	1
rescue	1
palter	1
remodel	1
approximate	1
vibrate	1
wriggle	1
scrape	1
revenge	1
import	1
trammel	1
reserve	1
event	1
purloin	1
conflict	1
behove	1
implicate	1
spirit	1
untincture	1
constrain	1
leaven	1
coquet	1
preach	1
rebuild	1
