STATE
Evento_lema	Frecuencia
have	170
be	53
remain	26
maintain	14
hold	12
glad	11
live	8
war	5
control	5
feel	5
happy	5
affect	3
result	3
great	2
good	2
independent	2
saturate	2
successful	2
belong	2
mix	2
brief	2
cost	2
awry	1
content	1
owe	1
civil	1
own	1
consciou	1
full	1
los	1
tranquil	1
indefensible	1
bright	1
true	1
irresistible	1
unknown	1
popular	1
ripe	1
proud	1
triumphant	1
curiou	1
worth	1
capable	1
pressure	1
part	1
sure	1
liable	1
gain	1
speechles	1
relate	1
clever	1
young	1
complete	1
little	1
serve	1
corrupt	1
necessary	1
imaginary	1
wont	1
blind	1
thankful	1
conviction	1
near	1
wait	1
situation	1
frank	1
