I_ACTION
Evento_lema	Frecuencia
ask	499
call	404
demand	315
compel	261
look	244
seek	228
assure	188
attempt	172
speak	154
press	152
permit	136
accept	123
promise	118
explain	118
declare	111
offer	107
allow	98
prevent	97
help	97
fail	96
state	91
order	91
approach	87
propose	87
try	80
agree	79
avoid	76
point	75
pray	72
intend	65
assist	60
choose	57
touch	52
delay	52
conclude	48
send	48
request	47
serve	45
assume	45
recommend	43
convince	43
urge	42
manage	39
persuade	38
accuse	38
pledge	36
suggest	35
describe	33
pursue	32
complain	31
clear	29
establish	28
invite	28
warn	27
wonder	27
deny	26
overcome	26
question	25
name	25
appeal	25
doubt	24
pronounce	23
direct	23
avert	23
mean	23
ensure	22
decide	21
reason	21
extend	20
face	20
threaten	20
catch	19
tear	18
claim	18
oppose	16
approve	16
announce	16
plead	14
burn	14
decline	13
insist	13
require	13
determine	13
acknowledge	12
resist	12
effort	11
hire	11
support	10
regain	8
arrange	8
allege	8
hail	8
investigate	8
record	8
indicate	7
deal	7
aim	6
show	6
beat	6
elect	6
listen	5
rule	5
postpone	5
blame	5
mislead	5
push	4
appear	4
guard	4
reject	4
denounce	4
accord	4
attribute	4
speculate	3
block	3
explore	3
brim	3
influence	3
tolerate	2
organize	2
forbid	2
head	2
predict	2
apply	2
bar	2
mount	2
cope	2
comment	2
established	1
part	1
notify	1
distort	1
design	1
prepare	1
disclose	1
embrace	1
charge	1
proposal	1
engage	1
applaud	1
ward	1
encouragement	1
run	1
set	1
concede	1
