I_STATE
Evento_lema	Frecuencia
think	1027
know	818
seem	465
appear	447
believe	346
become	289
want	285
require	191
hope	187
consider	175
allow	169
obtain	153
suppose	146
like	141
enable	129
expect	105
please	97
prepare	85
understand	84
suspect	74
surprise	68
commit	67
aware	61
stand	55
wonder	47
yield	38
need	38
fear	33
anxiou	32
help	31
owe	31
intend	27
regret	27
concern	25
deprive	23
view	22
afraid	21
shock	20
presume	20
fail	19
able	19
meet	19
mean	18
plan	17
sufficient	17
involve	15
achieve	13
approach	13
close	13
reflect	12
find	11
listen	11
experience	10
anticipate	10
suggest	9
oppose	8
agreement	8
assure	7
face	7
dismay	6
rely	6
reach	6
aim	5
will	5
subject	5
control	5
suffer	5
stay	5
dependent	5
seek	5
speculate	4
happy	4
entitle	4
constrain	4
comply	4
run	4
confident	4
unwil	4
estimate	4
unhappy	3
facilitate	3
cautiou	3
force	3
wait	2
qualify	2
guess	2
recollect	2
realize	2
imagine	2
learn	2
observe	2
notice	2
reserve	2
perish	2
affect	2
difficult	2
hesitate	2
refuse	2
mention	2
stir	2
perceive	2
feel	2
enabled	1
intercede	1
trouble	1
trust	1
scamper	1
provide	1
linger	1
condescend	1
design	1
arise	1
repine	1
reproach	1
thaw	1
press	1
blab	1
blush	1
consummate	1
banish	1
careful	1
admit	1
devote	1
ease	1
prefer	1
divine	1
curse	1
get	1
overcome	1
walk	1
advance	1
dare	1
drink	1
allude	1
sleep	1
interfere	1
alarm	1
avail	1
worry	1
attribute	1
triumph	1
impart	1
empower	1
distract	1
make	1
square	1
inquire	1
offensive	1
desert	1
question	1
dwell	1
ingros	1
fondle	1
remonstrate	1
choose	1
pen	1
deserve	1
love	1
touch	1
account	1
betray	1
win	1
inactive	1
trifle	1
