OCCURRENCE
Evento_lema	Frecuencia
take	1649
make	1259
do	1216
come	1093
return	1085
exclaim	1075
give	943
go	900
cry	844
answer	833
observe	683
find	674
pass	648
get	563
turn	529
receive	517
meet	510
know	493
speak	483
fall	472
left	446
throw	422
leave	400
proceed	398
ejaculate	364
lead	348
feel	344
put	340
place	335
strike	320
let	313
send	311
rise	307
bring	303
draw	285
visit	284
remember	280
lose	279
stand	272
write	258
interrupt	256
save	255
reach	253
address	245
hasten	239
read	236
walk	235
break	228
love	225
acquaint	224
utter	217
accompany	213
possess	209
pay	209
wish	208
close	207
conceal	206
produce	205
raise	205
follow	204
become	204
perceive	202
render	200
learn	194
experience	190
seat	189
forget	189
set	187
die	186
behold	186
obtain	180
inquire	180
arrive	180
change	180
discover	179
form	177
advance	177
carry	175
occupy	175
communicate	174
endeavour	170
work	168
repeat	168
cast	167
hurry	167
wait	167
wear	163
sit	161
call	160
show	159
prove	158
thank	157
conduct	156
hold	154
paid	154
murmur	153
attend	153
glance	152
act	152
retire	152
fill	151
talk	149
look	148
grow	147
allude	146
move	146
dress	144
run	144
understand	144
entertain	144
hesitate	144
convey	143
introduce	141
departure	140
pursue	139
play	138
lay	137
determine	137
repair	137
whisper	136
catch	135
admit	135
serve	135
live	133
refuse	132
mean	132
listen	131
rush	130
drive	128
adopt	128
excite	128
induce	125
succeed	124
sleep	124
used	122
remove	121
commence	120
bear	120
settle	120
imagine	120
pause	119
drink	119
sate	119
resolve	117
comprehend	117
use	117
fix	116
recognise	114
cover	114
sell	113
reveal	112
afford	112
purchase	112
mention	111
laugh	111
dare	109
implore	109
happen	109
satisfy	108
open	108
alarm	108
withdraw	107
hang	107
depart	107
suffer	107
watch	106
engage	105
contain	104
cut	103
treat	103
desire	102
procure	102
join	101
hand	101
descend	100
mind	99
offer	97
calculate	97
perform	97
cease	97
force	96
ruin	96
conceive	94
layer	94
shake	94
weep	94
separate	93
light	93
reflect	93
forgive	93
escap	92
awake	91
supply	91
enjoy	91
ascertain	90
elapse	90
retain	89
present	89
contemplate	88
devote	88
tremble	88
deceive	88
dwell	87
plunge	87
smile	87
provide	87
secure	86
apply	85
betray	84
command	83
dispose	83
belong	82
bury	82
appear	81
suppose	81
convince	81
enable	81
marry	81
proclaim	81
accomplish	81
affect	81
interview	80
support	80
gain	80
seize	79
knock	79
request	79
inform	79
eat	79
care	78
survey	78
sink	77
kill	77
teach	76
gaze	76
obey	76
arrange	76
drag	75
fancy	75
swear	75
search	75
encounter	74
steal	74
relieve	74
employ	74
roll	73
notice	73
death	73
conversation	73
pour	72
delight	72
connect	72
issue	71
require	71
examine	71
rest	70
drop	70
incline	70
compose	70
blow	70
murder	69
round	69
mark	69
disappear	69
recollect	69
lie	68
await	68
cause	68
echo	68
deliver	68
burst	67
escape	67
increase	67
aid	66
embrace	66
converse	66
beg	66
exist	65
thrust	65
stay	65
recover	65
part	64
ascend	64
deem	64
earn	64
attach	64
astonish	64
suit	64
breathe	63
wander	63
bow	62
spare	62
lock	62
buy	62
occur	62
consent	62
express	61
mutter	60
 the	60
fly	59
overhear	59
welcome	59
confess	59
mistake	58
denote	58
assume	58
release	58
rob	58
enter	58
re-cover	57
clasp	57
 and	57
animate	56
conviction	56
restore	56
endure	56
partake	55
bound	55
undertake	55
create	55
struggle	54
wipe	54
ceremony	54
penetrate	53
sank	53
manifest	53
collect	53
expose	53
avail	52
cross	52
arrest	52
gratify	51
furnish	51
born	51
protect	51
pardon	51
admire	50
punish	49
explain	49
shine	48
lend	48
reside	48
exchange	48
reduce	48
exercise	48
characterise	47
spread	47
console	47
fetch	46
involve	46
touch	46
practise	46
attack	46
oblige	46
burn	46
quit	46
dash	46
lean	46
rejoice	46
dart	45
inspire	45
shudder	45
repent	45
agitate	45
embark	45
proposal	45
contrive	45
bestow	45
describe	45
los	45
sign	45
arouse	44
effect	44
beat	44
perpetrate	43
honour	43
accustom	43
fit	43
indulge	43
fight	43
rang	43
prepare	43
injure	43
direct	42
charge	42
alight	42
pick	42
snatch	42
heart	42
please	42
step	42
attract	41
maintain	41
crush	41
crowd	41
win	41
prevail	41
destroy	41
ponder	41
assemble	41
subdue	40
yield	40
interfere	40
wrapped	40
constitute	40
trust	40
starve	40
bore	40
bless	40
push	40
waste	39
divine	39
judge	39
muse	39
dine	39
display	39
represent	39
sustain	39
smoke	39
announcement	39
execute	39
gather	39
encourage	38
stretch	38
accost	37
deal	37
study	37
entrust	37
ensue	37
ride	37
blush	37
recall	37
prompt	37
sacrifice	37
grant	37
emanate	36
creep	36
retreat	36
shoot	36
fasten	36
reproach	36
owe	36
incur	36
wring	36
dread	36
wash	36
sweep	36
hire	36
peruse	36
labour	36
surround	35
bend	35
desert	35
trial	35
shout	35
consult	35
plunder	35
arise	35
incident	35
frighten	34
oppress	34
acquire	34
question	34
impart	34
consign	34
reward	34
divide	34
appoint	34
risk	34
offend	34
leap	34
confine	34
menace	34
arrival	34
flow	33
flash	33
grasp	33
overwhelm	33
comply	33
cheer	33
astound	33
exert	33
flee	33
forward	33
preserve	33
tear	33
despatch	33
deserve	33
trace	33
persist	32
inflict	32
kiss	32
travel	32
slip	32
lounge	32
annoy	32
spend	32
remark	32
overtake	32
decide	32
extinguish	32
commit	31
wind	31
summons	31
re-trace	31
disturb	31
battle	31
weary	30
prefer	30
