STATE
Evento_lema	Frecuencia
have	601
remain	208
be	159
feel	48
maintain	41
los	33
hold	28
glad	17
capable	15
relate	15
live	14
cost	14
unknown	14
war	13
affect	11
serve	10
good	10
result	9
own	8
mix	8
control	7
due	7
conviction	6
successful	6
happy	6
proud	6
belong	5
better	5
value	5
candid	4
fortunate	4
necessary	4
likely	4
wrong	4
owe	4
foolish	4
enjoy	4
weak	4
off	3
fair	3
welcome	3
old	3
embrace	3
represent	3
complete	2
innocent	2
fond	2
absent	2
deficient	2
close	2
greater	2
responsible	2
ashame	2
convalescent	2
intense	2
saturate	2
worse	2
on	2
favourable	2
part	2
sure	2
excellent	2
eligible	2
near	2
wrought	1
base	1
invincible	1
imprudent	1
unvary	1
valuable	1
contrary	1
desirou	1
full	1
unfound	1
tie	1
fall	1
drownd	1
vacant	1
faithful	1
answerable	1
unable	1
splendid	1
lack	1
hungry	1
honest	1
situation	1
enough	1
guilty	1
charitable	1
apparent	1
belove	1
lead	1
ambitiou	1
friendly	1
sanguine	1
silent	1
cautiou	1
trouble	1
curiou	1
damage	1
ill	1
correct	1
truce	1
cruel	1
impossible	1
fool	1
mad	1
secure	1
daylight.	1
blind	1
virtuou	1
situate	1
ripe	1
pressure	1
indebt	1
irrevocable	1
dropped*	1
include	1
maturity	1
inevitable	1
dusk	1
deserve	1
particular	1
uninhabite	1
proper	1
merciful	1
veway	1
sober	1
low	1
punctual	1
obviou	1
vain	1
congenial	1
enow	1
insensible	1
replete	1
illegible	1
wait	1
hateful	1
abhorrent	1
spell	1
instrumental	1
annex	1
in	1
exceed	1
here	1
uneasy	1
attempt	1
sudden	1
