I_ACTION
Evento_lema	Frecuencia
try	226
ask	142
look	126
permit	98
speak	92
prevent	80
call	72
seek	66
help	62
promise	58
pray	56
fail	52
attempt	38
declare	35
intend	31
compel	30
demand	29
choose	28
allow	27
assure	25
urge	25
send	24
explain	22
press	20
effort	20
appeal	17
overcome	16
doubt	16
approach	15
offer	13
conclude	12
order	12
persuade	11
acknowledge	11
request	11
accept	10
wonder	10
complain	10
mean	10
agree	10
deny	9
convince	9
touch	9
plead	9
avoid	8
regain	8
resist	8
warn	8
accuse	8
delay	8
point	8
assist	7
decide	7
attribute	6
propose	6
pronounce	6
name	6
approve	6
direct	5
guard	5
avert	5
insist	5
extend	5
claim	4
determine	4
threaten	4
pursue	4
question	4
show	4
serve	3
pledge	3
suggest	3
catch	3
tear	3
oppose	2
support	2
engage	2
decline	2
face	2
blame	2
beat	2
describe	2
postpone	2
listen	2
forbid	2
arrange	2
influence	2
part	2
urged	1
reason	1
require	1
recommend	1
speculate	1
invite	1
establish	1
push	1
handle	1
design	1
manage	1
clear	1
nullify	1
promote	1
authorize	1
make	1
mislead	1
state	1
denounce	1
hail	1
