I_STATE
Evento_lema	Frecuencia
think	527
seem	260
know	260
believe	151
hope	94
become	90
like	69
want	60
expect	48
appear	46
fear	43
please	38
obtain	26
wonder	26
consider	22
require	21
allow	19
need	18
enable	16
fail	16
suppose	15
prepare	13
suspect	13
surprise	12
regret	10
able	9
commit	9
aware	7
help	6
anxiou	6
concern	6
approach	6
understand	5
stand	4
owe	4
afraid	3
yield	3
stay	3
close	3
intend	3
worry	3
deprive	2
achieve	2
mean	2
unhappy	2
control	2
favor	2
assure	2
favore	2
happy	2
find	2
shock	2
seeks	1
presume	1
kiss	1
face	1
refuse	1
listen	1
subject	1
affect	1
punish	1
sufficient	1
deserve	1
feel	1
teach	1
experience	1
prohibit	1
revert	1
rely	1
suffer	1
anticipate	1
guess	1
value	1
plan	1
