I_ACTION
Evento_lema	Frecuencia
ask	146
look	81
call	63
try	60
seek	42
attempt	38
speak	36
help	31
order	25
demand	23
promise	23
persuade	22
compel	22
offer	21
avoid	21
approach	20
prevent	18
doubt	16
pray	16
send	16
touch	15
mean	15
explain	15
complain	13
wonder	12
allow	11
assure	11
urge	11
choose	11
intend	11
threaten	10
warn	9
permit	9
accept	8
show	8
plead	8
convince	8
suggest	7
point	7
manage	7
invite	6
conclude	6
propose	6
beat	6
catch	6
agree	5
announce	5
establish	5
delay	5
deny	5
assist	4
assume	4
recommend	4
insist	4
blame	4
decline	4
name	4
serve	4
clear	4
pledge	4
direct	4
claim	4
declare	4
press	4
face	3
appeal	3
burn	3
mount	3
pursue	3
fail	3
pronounce	3
state	3
approve	3
accuse	3
request	3
regain	3
bar	2
hail	2
determine	2
overcome	2
run	2
listen	2
avert	2
question	2
reject	2
resist	2
effort	2
forbid	2
stall	2
calling	1
attribute	1
design	1
push	1
engage	1
tolerate	1
estimate	1
resolve	1
support	1
tear	1
decide	1
reason	1
deal	1
brim	1
make	1
postpone	1
force	1
oppose	1
guard	1
extend	1
