I_STATE
Evento_lema	Frecuencia
think	231
know	101
want	89
seem	71
like	51
believe	46
appear	45
please	43
hope	34
expect	34
suppose	21
consider	21
fear	20
allow	18
wonder	18
become	12
aware	11
stand	10
yield	9
need	9
require	9
surprise	7
prepare	7
commit	6
shock	5
plan	5
suspect	4
intend	4
help	4
anxiou	3
run	3
presume	3
deprive	3
fail	3
stay	3
suffer	3
aim	2
anticipate	2
mean	2
worry	2
regret	2
obtain	2
constrain	1
suggest	1
cant	1
find	1
unhappy	1
dream	1
foresee	1
agreement	1
persuade	1
evince	1
fancy	1
sense	1
cautiou	1
achieve	1
oppose	1
mention	1
owe	1
approach	1
recall	1
experience	1
touch	1
able	1
sufficient	1
careful	1
face	1
weary	1
relent	1
listen	1
afraid	1
