I_ACTION
Evento_lema	Frecuencia
ask	267
look	215
call	152
try	110
order	75
speak	61
promise	55
agree	48
propose	45
help	40
declare	37
choose	36
pray	35
allow	33
send	33
offer	32
press	31
point	30
accept	27
touch	26
invite	25
face	23
warn	23
pronounce	21
wonder	21
prevent	20
fail	19
seek	18
attempt	17
permit	15
avoid	15
decline	14
assure	13
conclude	13
insist	13
recommend	12
state	12
deny	12
manage	11
doubt	11
establish	11
threaten	11
serve	11
delay	11
acknowledge	10
overcome	10
tear	10
claim	9
show	9
compel	8
rule	8
urge	8
name	7
speculate	7
request	7
clear	7
persuade	6
resist	6
describe	6
approve	6
arrange	6
deal	5
burn	5
complain	5
intend	5
beat	4
appeal	4
applaud	4
effort	4
explain	4
assist	4
approach	4
convince	4
assume	4
direct	3
mount	3
suggest	3
hail	3
ignore	3
accuse	3
pledge	3
mean	3
record	3
hire	3
extend	2
attribute	2
reason	2
support	2
catch	2
regain	2
announce	2
pursue	2
plead	2
engage	2
determine	2
estimate	2
oppose	2
handle	2
reject	2
elect	2
bar	2
looking	1
influence	1
forbid	1
blame	1
predict	1
question	1
authorize	1
demand	1
brim	1
guard	1
block	1
note	1
notify	1
