I_STATE
Evento_lema	Frecuencia
think	630
know	265
want	161
like	146
become	98
hope	90
believe	88
please	83
seem	76
appear	67
suppose	57
expect	52
consider	42
wonder	37
allow	24
prepare	16
face	15
fear	13
aware	12
stand	11
surprise	11
help	11
intend	11
need	10
able	10
commit	9
owe	9
require	9
concern	8
meet	8
enable	7
find	7
fail	6
entitle	6
stay	6
yield	5
suspect	5
understand	4
shock	4
deprive	4
mean	4
regret	4
obtain	4
afraid	4
suffer	3
presume	3
forget	2
reach	2
subject	2
achieve	2
control	2
witness	2
protest	2
sufficient	2
unhappy	2
wait	2
view	2
forgive	2
spare	1
aim	1
anticipate	1
run	1
you’re	1
refuse	1
approach	1
worry	1
suggest	1
fit	1
bloom	1
nourish	1
walk	1
perceive	1
close	1
beckon	1
consummate	1
agree	1
constrain	1
win	1
design	1
anxiou	1
happy	1
