STATE
Evento_lema	Frecuencia
have	414
be	80
own	53
remain	20
war	20
glad	15
hold	12
feel	12
cost	8
live	8
sure	7
affect	7
los	6
good	6
content	4
happy	4
capable	4
useful	3
thankful	3
relate	3
brief	3
maintain	2
off	2
attentive	2
objectionable	2
hereditary	2
famou	2
watchful	2
proud	2
exceed	2
better	2
belong	2
cautiou	2
owe	2
out	2
wic	1
delightful	1
result	1
inevitable	1
fond	1
wait	1
spell	1
welcome	1
angry	1
weak	1
fresh	1
comfortable	1
round	1
severe	1
consistent	1
likely	1
fatal	1
advantageou	1
excellent	1
jealou	1
serve	1
independent	1
attaché	1
secure	1
intimate	1
curiou	1
weaknes	1
wild	1
compare	1
inconvenient	1
plague	1
represent	1
complete	1
manager	1
equal	1
embrace	1
mix	1
noble	1
civil	1
young	1
slow	1
