I_ACTION
Evento_lema	Frecuencia
ask	227
try	160
look	139
speak	86
help	84
call	76
name	25
wonder	25
press	21
mean	20
fail	18
pray	18
seek	18
effort	17
send	17
promise	17
choose	16
prevent	16
offer	15
suggest	14
doubt	14
avoid	14
urge	13
agree	11
attempt	11
intend	10
catch	10
serve	9
touch	9
delay	9
threaten	8
assure	8
state	7
compel	7
point	7
allow	6
declare	6
show	6
question	6
accuse	6
persuade	6
plead	6
oppose	6
assume	5
approach	5
complain	5
resist	5
recommend	5
decide	5
order	5
beat	5
manage	5
appeal	5
accept	5
claim	4
overcome	4
face	4
clear	4
listen	4
tear	4
regain	4
explain	4
blame	3
block	3
hire	3
determine	3
acknowledge	3
guard	3
request	3
propose	3
pledge	3
bar	2
deny	2
conclude	2
brim	2
forbid	2
warn	2
assist	2
demand	2
record	2
require	2
pursue	2
convince	2
direct	1
establish	1
deal	1
applaud	1
allege	1
promote	1
reject	1
resolve	1
indicate	1
approve	1
elect	1
decline	1
describe	1
arrange	1
reason	1
permit	1
sense	1
insist	1
hail	1
burn	1
attribute	1
announce	1
rule	1
aim	1
support	1
