I_STATE
Evento_lema	Frecuencia
think	584
know	287
want	168
seem	163
believe	100
like	83
hope	48
become	42
expect	28
consider	28
wonder	25
please	25
appear	20
fear	20
help	19
suppose	19
plan	16
obtain	13
require	12
aware	11
allow	10
commit	10
stand	9
prepare	8
concern	8
need	7
suspect	7
understand	6
yield	6
surprise	5
able	4
meet	4
fail	4
mean	4
shock	4
seed	3
run	3
loom	3
find	3
worry	3
face	3
feel	2
control	2
suffer	2
get	2
anxiou	2
sufficient	2
regret	2
rely	2
anticipate	2
fit	2
owe	2
agreement	1
perceive	1
value	1
close	1
dare	1
spare	1
persuade	1
will	1
guess	1
fret	1
cherish	1
intend	1
experience	1
stay	1
listen	1
swerve	1
suggest	1
cross	1
boil	1
foresee	1
remind	1
deprive	1
gaze	1
view	1
