STATE
Evento_lema	Frecuencia
have	187
be	33
own	16
glad	13
feel	13
remain	8
hold	6
maintain	4
happy	4
off	4
live	3
los	3
cost	2
serve	2
weak	2
mix	2
intensity	2
on	1
greater	1
ignorant	1
value	1
much	1
low	1
pressure	1
loath	1
wait	1
silent	1
long	1
alone	1
result	1
weakly	1
thankful	1
cautiou	1
shallow	1
patient	1
deep	1
calm	1
belove	1
silly	1
asleep	1
enjoy	1
civil	1
belong	1
wrought	1
innocent	1
pertinaciou	1
absent	1
unnatural	1
here	1
conviction	1
favourable	1
nigh	1
foolish	1
control	1
useful	1
painful	1
savage	1
better	1
dizzy	1
open	1
sure	1
undisturb	1
independent	1
