I_ACTION
Evento_lema	Frecuencia
ask	28
demand	27
call	26
look	21
attempt	19
help	18
seek	15
try	14
offer	9
point	7
avoid	7
regain	6
support	6
approach	6
order	5
urge	5
state	5
speak	5
persuade	5
require	5
delay	4
press	4
effort	4
declare	4
allow	4
warn	4
assure	4
name	3
fail	3
invite	3
send	3
wonder	3
prevent	3
promise	3
pray	2
touch	2
explain	2
doubt	2
describe	2
announce	2
intend	2
deny	2
convince	2
pursue	2
manage	2
extend	2
conclude	2
propose	2
claim	2
burn	2
called	1
permit	1
overcome	1
guard	1
suggest	1
complain	1
deal	1
assume	1
arrange	1
decide	1
catch	1
beat	1
acknowledge	1
accept	1
hail	1
recommend	1
bar	1
compel	1
avert	1
disclose	1
choose	1
explore	1
serve	1
agree	1
mean	1
block	1
mount	1
