I_ACTION
Evento_lema	Frecuencia
look	86
seek	73
ask	57
speak	38
call	34
assure	18
fail	17
prevent	17
choose	15
try	15
explain	13
doubt	13
pray	12
allow	11
offer	10
delay	9
claim	9
establish	9
attempt	9
propose	9
intend	9
accept	9
overcome	8
help	8
promise	8
touch	7
tear	7
mean	7
design	7
convince	7
press	7
declare	7
wonder	6
send	6
agree	6
effort	6
approach	6
point	5
demand	5
describe	5
warn	4
request	4
avoid	4
persuade	4
promote	4
plead	4
serve	3
permit	3
guard	3
assume	3
complain	3
compel	3
record	3
assist	3
conclude	3
deny	2
influence	2
recommend	2
analyze	2
suggest	2
rule	2
indicate	2
state	2
blame	2
urge	2
regain	2
mislead	2
ruled	1
explore	1
direct	1
estimate	1
resist	1
pronounce	1
announce	1
appeal	1
comment	1
mount	1
insist	1
determine	1
apply	1
deal	1
invite	1
extend	1
speculate	1
name	1
ensure	1
oppose	1
avert	1
bar	1
show	1
approve	1
order	1
face	1
acknowledge	1
tolerate	1
question	1
decide	1
attribute	1
support	1
pledge	1
