I_STATE
Evento_lema	Frecuencia
think	212
seem	151
know	111
believe	89
hope	30
become	29
expect	21
like	18
fear	15
appear	14
want	14
please	13
allow	13
require	11
consider	11
suppose	10
prepare	9
fail	7
obtain	7
constrain	7
aware	7
understand	6
enable	4
careful	4
suffer	3
face	3
surprise	3
deprive	3
suspect	3
commit	3
stand	2
wait	2
mean	2
wonder	2
regret	2
realize	2
meet	2
able	2
seems	1
ease	1
unhappy	1
find	1
mistrust	1
qualify	1
cautiou	1
suggest	1
help	1
run	1
seek	1
presume	1
rely	1
plan	1
need	1
involve	1
touch	1
affect	1
concern	1
confident	1
comfort	1
approach	1
close	1
pain	1
sense	1
