I_ACTION
Evento_lema	Frecuencia
look	516
ask	321
call	165
try	110
help	84
speak	74
assure	59
pray	44
mean	41
propose	37
accept	33
wonder	29
seek	29
point	28
doubt	28
prevent	27
touch	24
agree	23
press	22
suggest	21
recommend	21
assist	20
promise	19
intend	19
persuade	18
fail	18
establish	17
avoid	15
approve	15
offer	14
burn	14
order	14
urge	14
state	14
allow	13
complain	12
name	12
conclude	11
delay	11
face	11
approach	10
choose	10
clear	10
explain	10
invite	9
show	9
tear	9
serve	8
send	8
accuse	8
beat	8
decide	8
overcome	8
request	7
announce	7
pursue	7
permit	7
attempt	7
direct	7
deny	7
effort	6
acknowledge	6
catch	6
appeal	6
threaten	6
oppose	6
deal	5
warn	5
pledge	4
honor	4
claim	4
decline	4
support	4
describe	3
insist	3
question	3
declare	3
guard	3
plead	3
aim	3
charge	3
resist	3
engage	3
ensure	3
arrange	3
mount	3
extend	2
reason	2
manage	2
elect	2
demand	2
assume	2
attribute	2
require	2
influence	2
pronounce	2
resolve	2
blame	2
explore	2
avert	2
convince	2
handle	2
directing	1
ward	1
record	1
regain	1
set	1
estimate	1
block	1
expand	1
compel	1
indicate	1
push	1
investigate	1
postpone	1
hire	1
design	1
proposal	1
concede	1
determine	1
post	1
