OCCURRENCE
Evento_lema	Frecuencia
go	997
come	992
do	726
make	710
take	671
get	431
give	413
find	406
return	350
put	305
know	266
bring	261
sit	238
turn	230
look	223
speak	195
pass	189
cry	175
shake	171
walk	167
left	150
fall	148
feel	148
write	147
wish	138
stand	137
understand	127
talk	127
leave	127
change	122
let	118
receive	117
set	114
read	113
hold	109
mention	108
mean	106
move	105
repeat	103
observe	101
remember	101
rise	98
layer	98
draw	95
shut	91
die	89
lose	86
lie	84
send	83
break	80
live	79
throw	79
meet	77
beg	77
carry	77
run	76
answer	76
wait	76
happen	74
work	74
used	73
laugh	72
show	70
forget	69
visit	67
putt	65
love	64
attend	64
pursue	63
miss	62
bear	61
lay	61
thank	61
oblige	61
address	57
marry	56
present	53
lead	53
suppose	53
round	52
become	52
play	52
glance	52
wear	51
listen	51
trust	50
excuse	49
rub	49
admit	48
drive	48
engage	47
smile	47
inquire	47
grow	46
follow	46
mind	46
close	45
express	45
raise	45
proceed	44
stare	44
kiss	44
bless	44
arrive	44
pay	44
strike	44
call	43
watch	43
dress	43
refer	43
retire	41
settle	41
rest	41
use	40
fold	39
appear	39
lean	38
care	38
blow	37
catch	37
cast	37
whisper	37
light	36
learn	36
sleep	35
save	35
render	35
cross	34
lift	34
drink	34
knock	34
hang	33
cause	33
ring	33
possess	32
stay	32
improve	32
place	32
teach	32
occupy	32
exclaim	32
produce	32
notice	31
fill	31
drop	31
nod	31
sing	31
remove	30
communicate	30
admire	30
deal	29
offer	29
shine	29
touch	29
seat	28
hide	28
paid	28
cut	28
fix	28
hurry	28
born	27
charge	27
arrange	27
discover	27
devote	27
spare	27
act	26
confide	26
hand	26
object	26
advance	26
smoke	26
search	26
contemplate	25
inform	25
deliver	25
forgive	25
depart	25
explain	25
open	25
conversation	25
accompany	25
acquaint	24
pause	24
recover	24
remind	24
sweep	24
bend	24
tap	24
arise	23
recollect	23
compose	23
eat	23
advise	23
desire	23
rattle	23
respect	22
enjoy	22
hurt	22
employ	22
fly	21
examine	21
form	21
sob	21
ceremony	21
confess	21
buy	21
join	21
roll	21
bestow	21
direct	20
lock	20
encourage	20
withdraw	20
wipe	20
sound	20
bound	20
be	20
judge	20
tumble	20
fetch	20
pull	20
“and	19
accustom	19
entreat	19
frighten	19
stir	19
wind	19
cover	19
warm	19
last	19
discovery	19
disturb	19
enquire	19
remark	19
retort	19
imagine	18
stick	18
conduct	18
bury	18
brighten	18
represent	18
utter	18
relieve	18
request	18
dismiss	18
adjust	18
belong	18
trouble	18
