I_STATE
Evento_lema	Frecuencia
know	215
think	200
want	100
believe	71
seem	66
hope	57
consider	46
appear	41
like	31
expect	26
suppose	25
please	24
become	20
allow	16
wonder	16
understand	13
surprise	12
face	9
suspect	9
need	8
help	6
require	6
stand	6
prepare	5
commit	5
aware	5
fear	5
yield	4
worry	3
approach	3
find	3
shock	3
meet	2
suggest	2
obtain	2
regret	2
constrain	2
plan	2
afraid	2
mean	2
sufficient	1
agree	1
wath	1
unwil	1
get	1
view	1
anticipate	1
fail	1
able	1
anxiou	1
close	1
presume	1
owe	1
