I_STATE
Evento_lema	Frecuencia
think	1355
know	592
want	311
seem	285
like	249
believe	238
hope	191
please	95
expect	91
suppose	76
consider	62
wonder	58
become	55
appear	44
help	37
surprise	36
allow	32
fear	31
prepare	24
need	23
understand	19
able	19
suspect	17
shock	17
obtain	16
aware	15
concern	13
mean	12
worry	12
stand	11
yield	11
afraid	9
stay	9
regret	9
dismay	8
fail	8
meet	6
unhappy	5
view	5
find	5
commit	5
will	5
feel	4
happy	4
anxiou	4
unwil	4
require	4
deprive	4
care	3
suffer	3
careful	3
prefer	3
intend	3
plan	3
presume	2
close	2
wish	2
run	2
willing	1
fit	1
smile	1
protest	1
win	1
fade	1
enable	1
admire	1
recollect	1
recognise	1
learn	1
press	1
achieve	1
fun	1
manifest	1
reflect	1
eager	1
distract	1
spare	1
turn	1
speculate	1
unfair	1
affect	1
hate	1
sound	1
suggest	1
rely	1
undergo	1
keen	1
watch	1
confident	1
complain	1
get	1
wear	1
thank	1
oppose	1
praise	1
walk	1
guess	1
face	1
