STATE
Evento_lema	Frecuencia
have	454
be	77
own	50
glad	46
feel	44
hold	22
good	14
remain	12
better	10
happy	8
serve	6
live	6
fair	6
cost	6
control	4
mix	3
maintain	3
disappoint	3
thankful	3
los	3
silent	3
quiet	2
uneasy	2
result	2
belong	2
delightful	2
much	2
affect	2
worse	2
war	2
wait	2
sure	2
successful	2
complete	2
necessary	2
welcome	2
was	1
plague	1
only	1
consciou	1
foremost	1
pale	1
capable	1
exemplary	1
salutary	1
tidy	1
equal	1
fond	1
big	1
sharp	1
dark	1
open	1
wrong	1
idle	1
wiser	1
steady	1
luxuriou	1
likely	1
grip	1
faithful	1
ripe	1
dying-	1
inferior	1
sorry	1
conceit	1
old	1
greater	1
confirm	1
delicate	1
temperate	1
amiable	1
enjoy	1
fret	1
piteou	1
graciou	1
ready	1
here	1
tie	1
sensible	1
perfect	1
merry	1
flat	1
hot	1
ashame	1
useles	1
ambitiou	1
content	1
long	1
weak	1
feasible	1
liberal	1
due	1
responsible	1
seriou	1
lower	1
grateful	1
senseles	1
independent	1
wrought	1
susceptible	1
excellent	1
unable	1
embrace	1
