I_ACTION
Evento_lema	Frecuencia
ask	60
look	53
try	30
seek	18
help	15
avoid	13
call	13
persuade	13
speak	13
explain	12
press	11
choose	11
mean	10
offer	10
promise	10
prevent	9
propose	9
intend	9
accept	9
order	8
approach	8
determine	7
warn	7
doubt	7
fail	7
declare	6
agree	6
attempt	6
allow	5
touch	5
complain	5
permit	4
wonder	4
acknowledge	4
delay	4
appeal	4
suggest	4
conclude	4
invite	4
claim	4
deny	4
recommend	3
send	3
assist	3
pray	3
guard	3
effort	3
compel	2
forbid	2
direct	2
approve	2
assume	2
show	2
pursue	2
praying	1
catch	1
point	1
set	1
organize	1
post	1
arrange	1
deal	1
promote	1
engage	1
request	1
urge	1
regain	1
insist	1
mislead	1
decline	1
indicate	1
clear	1
investigate	1
assure	1
state	1
attribute	1
applaud	1
oppose	1
allege	1
plead	1
influence	1
