OCCURRENCE
Evento_lema	Frecuencia
go	220
come	177
do	164
take	137
make	137
give	82
know	62
walk	61
find	57
get	57
turn	55
feel	50
talk	49
look	48
wish	45
bring	44
put	44
return	40
meet	39
let	38
pass	38
rise	37
leave	36
break	36
laugh	33
forget	32
write	31
sit	30
answer	30
cry	30
don’t	29
stand	28
follow	28
left	28
wait	26
move	26
run	25
speak	25
lose	25
watch	24
smile	24
hold	23
show	23
lead	23
draw	22
love	22
reach	22
mean	22
set	21
perceive	21
force	21
fall	20
carry	20
care	20
ride	20
read	20
understand	20
catch	20
enjoy	19
deceive	19
layer	18
suffer	16
teach	16
lay	16
oblige	16
remember	15
receive	15
forgive	15
send	15
visit	15
resolve	14
act	14
drive	14
observe	14
sing	14
die	14
stay	13
listen	13
trust	13
hide	13
learn	12
strike	12
grow	12
work	12
pay	12
thank	12
join	12
throw	12
change	12
repeat	12
occupy	11
raise	11
frighten	11
cast	11
bear	11
amuse	11
refuse	11
use	11
wander	11
hate	10
forbid	10
succeed	10
part	10
marry	10
arrive	9
cross	9
interrupt	9
beg	9
disappear	9
become	9
round	9
play	9
fix	9
inquire	9
offend	9
disturb	9
can’t	9
convey	9
happen	9
gain	9
possess	8
suit	8
place	8
tire	8
close	8
used	8
obey	8
command	8
utter	8
lift	8
proceed	8
cause	8
despise	8
withdraw	8
employ	8
hesitate	8
lie	8
bow	7
destroy	7
contrive	7
venture	7
tremble	7
form	7
excite	7
colour	7
entertain	7
arrange	7
judge	7
comprehend	7
sank	7
pause	7
sprang	7
bid	7
provide	7
arise	7
secure	7
shut	7
descend	7
depart	7
settle	7
assemble	7
fling	7
conceal	6
kiss	6
practise	6
cease	6
offer	6
accustom	6
endure	6
vex	6
fancy	6
perplex	6
fasten	6
reveal	6
bend	6
shake	6
lean	6
satisfy	6
conduct	6
wear	6
reflect	6
justify	6
weep	6
puzzle	6
dwell	6
apply	6
departure	6
support	6
live	6
drop	6
flatter	6
bewilder	6
kill	6
smoke	6
accompany	5
occupation	5
advance	5
dress	5
pretend	5
alter	5
deserve	5
increase	5
examine	5
affect	5
remark	5
cut	5
assent	5
delight	5
require	5
incline	5
present	5
devote	5
request	5
entreat	5
scold	5
beseech	5
determine	5
treat	5
mind	5
preserve	5
hang	5
beat	5
perform	5
discover	5
rush	5
produce	5
open	5
displease	5
please	5
interview	5
fit	5
dread	5
baffle	5
grasp	5
address	4
contradict	4
conversation	4
devour	4
adopt	4
remove	4
acquaint	4
win	4
call	4
bound	4
provoke	4
startle	4
putt	4
glance	4
sigh	4
disregard	4
cling	4
engage	4
awaken	4
shrank	4
betray	4
confess	4
insinuate	4
prevail	4
push	4
hazard	4
harm	4
collect	4
dislike	4
guess	4
