I_ACTION
Evento_lema	Frecuencia
ask	271
look	159
call	135
speak	84
try	76
help	71
demand	39
order	35
promise	27
accuse	26
intend	25
allow	24
send	24
attempt	23
wonder	23
assure	22
clear	22
deny	21
press	21
pray	21
touch	21
fail	20
point	19
mean	18
offer	17
question	17
accept	17
urge	16
seek	15
choose	15
doubt	15
state	14
suggest	14
conclude	14
approach	14
prevent	13
serve	12
complain	11
burn	11
recommend	10
persuade	9
request	9
assume	8
show	8
decline	8
manage	8
threaten	8
forbid	7
declare	7
warn	6
decide	6
tear	6
acknowledge	5
direct	5
agree	5
face	5
rule	5
establish	5
delay	5
explain	5
pursue	5
compel	4
approve	4
assist	4
avoid	4
attribute	4
overcome	4
plead	3
appeal	3
convince	3
investigate	3
deal	3
insist	3
permit	3
mount	2
pronounce	2
design	2
determine	2
authorize	2
set	2
indicate	2
post	2
avert	2
resist	2
blame	2
invite	2
name	2
require	2
describe	2
catch	2
looking	1
ignore	1
engage	1
guard	1
promote	1
claim	1
aim	1
regain	1
reason	1
suspect	1
block	1
arrange	1
propose	1
record	1
encouragement	1
reject	1
listen	1
make	1
