I_STATE
Evento_lema	Frecuencia
think	468
know	336
want	149
believe	143
like	116
seem	100
appear	99
hope	78
suppose	67
allow	66
expect	66
suspect	46
fear	43
wonder	39
please	31
stand	27
become	26
consider	23
help	23
worry	19
surprise	19
concern	14
understand	13
commit	12
intend	10
need	10
obtain	9
aware	9
prepare	9
require	8
find	7
owe	7
fail	6
presume	6
yield	6
face	6
close	5
deprive	4
suffer	4
mean	4
enable	3
afraid	3
run	3
meet	3
anticipate	3
able	3
sufficient	3
plan	3
approach	2
anxiou	2
estimate	2
careful	2
get	2
listen	2
oppose	2
rely	2
eager	2
appeared	1
guess	1
win	1
persuade	1
qualify	1
control	1
stay	1
saddle	1
shock	1
prefer	1
chaperon	1
unwil	1
cautiou	1
dare	1
reflect	1
will	1
happy	1
protest	1
forgive	1
keen	1
assert	1
regret	1
difficult	1
curiou	1
suggest	1
grieve	1
aim	1
wait	1
