OCCURRENCE
Evento_lema	Frecuencia
go	829
come	824
do	690
take	611
get	369
make	335
turn	318
give	312
speak	257
find	243
bring	238
put	221
return	206
know	169
look	153
left	153
don’t	152
cry	145
exclaim	143
wish	134
answer	133
fall	131
stand	128
leave	123
laugh	115
pass	112
sit	109
talk	101
feel	98
lose	92
let	91
send	90
rise	89
meet	86
wait	83
set	80
grow	73
draw	73
remember	72
lock	70
observe	70
break	69
throw	69
repeat	68
strike	68
walk	66
run	66
drop	63
play	63
catch	59
layer	59
pay	58
lie	58
work	58
write	58
lay	57
shake	57
bear	57
interrupt	55
carry	54
can’t	53
happen	53
receive	52
hold	52
arrive	51
utter	50
mean	49
care	49
bend	48
close	47
retort	46
inquire	46
follow	44
proceed	44
change	44
fly	43
understand	43
remark	43
attend	43
possess	41
become	41
reach	40
forget	40
read	40
cast	39
visit	38
cause	38
shut	38
touch	37
whisper	37
live	37
paid	37
steal	36
eat	35
lift	34
gather	34
wear	34
suppose	33
hang	33
lead	32
prove	32
won’t	31
trust	31
arise	31
respond	31
place	30
putt	30
call	30
occur	30
cross	29
stay	29
used	29
learn	29
raise	28
listen	28
use	28
round	28
spare	28
watch	28
dare	28
fling	28
open	27
los	27
depart	27
save	27
suffer	26
grumble	26
show	26
gain	25
nod	25
interpose	25
smile	25
die	25
drive	25
cut	25
stare	24
forgive	24
confess	24
seize	24
push	24
fill	24
thank	24
afford	23
act	23
render	23
search	23
beg	22
didn’t	22
serve	22
ejaculate	22
mind	22
gaze	22
suspect	22
settle	22
enter	21
punish	21
glance	21
knock	21
rejoin	21
oblige	21
pause	21
shriek	21
fix	20
join	20
ring	20
teach	20
move	20
fancy	20
light	20
apply	20
belong	19
frighten	19
allude	19
echo	19
dance	19
tear	19
satisfy	19
burst	19
departure	19
mention	19
interfere	18
hide	18
notice	18
address	18
occupy	18
dress	18
spend	18
dash	18
fight	18
part	18
startle	18
betray	18
sign	18
screen	18
restore	17
arrest	17
enjoy	17
bore	17
deserve	17
obey	17
deal	17
regard	17
retire	17
pick	17
hasten	17
bury	17
burn	16
explain	16
incline	16
descend	16
ceremony	16
contain	16
stretch	15
discover	15
retain	15
flash	15
pursue	15
slip	15
drown	15
bound	14
flush	14
fit	14
ascertain	14
decide	14
owe	14
encounter	14
clasp	14
contrive	14
hurry	14
appear	14
hesitate	14
hand	14
sob	14
wouldn’t	14
mistake	14
swear	14
seal	14
pull	14
cough	14
clear	14
remove	14
born	13
prepare	13
beat	13
breathe	13
train	13
halter	13
undertake	13
rest	13
marry	13
seat	13
puzzle	13
advance	13
stride	13
replace	13
imagine	13
shout	13
prefer	13
stick	13
grieve	13
disturb	13
express	13
obtain	12
quit	12
deem	12
jump	12
guess	12
love	12
manage	12
determine	12
persist	12
vex	12
induce	12
withdraw	12
despatch	12
rush	12
arouse	12
sleep	12
accompany	12
shine	12
remonstrate	12
kill	12
pierce	12
cease	11
accomplish	11
march	11
question	11
reiterate	11
decision	11
resent	11
treat	11
grant	11
excite	11
suit	11
bless	11
waste	11
venture	11
proclaim	11
murmur	11
leap	11
present	11
desire	11
agitate	11
fasten	11
leane	11
roar	11
bow	11
stamp	11
pitch	11
rang	11
suppress	11
examine	11
cure	11
defend	11
exchange	11
connect	11
blow	10
commence	10
rub	10
wasn’t	10
enclose	10
hurt	10
bother	10
count	10
doubt	10
admit	10
battle	10
refuse	10
hint	10
improve	10
unlock	10
collect	10
debate	10
strive	10
detain	10
attack	10
dream	10
relate	10
dispute	10
conviction	10
soliloquize	10
miss	10
alter	10
absorb	10
tie	10
entertain	10
forfeit	10
behave	10
intimate	10
engage	9
flog	9
conclude	9
sprang	9
nurse	9
lean	9
earn	9
overwhelm	9
wash	9
indulge	9
form	9
correct	9
groan	9
fear	9
release	9
hobble	9
depend	9
recognize	9
appoint	9
foam	9
advise	9
thunder	9
assent	9
growl	9
disappear	9
deliver	9
convey	9
grope	9
fold	9
escap	9
trouble	9
welcome	8
sing	8
attach	8
peer	8
alarm	8
pummel	8
ink	8
perceive	8
quote	8
disobey	8
worry	8
avow	8
dart	8
boast	8
pretend	8
provoke	8
lower	8
kiss	8
wander	8
display	8
decline	8
shan’t	8
offend	8
condescend	8
offer	8
reply	8
hinder	8
wring	8
assert	8
succeed	8
resolve	8
flock	8
supply	8
chime	8
copy	8
describe	8
judge	8
vouchsafe	8
heart	8
exalt	8
drag	8
congratulate	8
impart	8
sound	7
brave	7
sink	7
tumble	7
mark	7
clatter	7
declare	7
stir	7
study	7
discuss	7
assemble	7
joke	7
introduce	7
account	7
sigh	7
have	7
dismiss	7
harm	7
calm	7
reflect	7
drink	7
chatter	7
vow	7
impress	7
merit	7
deliberate	7
command	7
resign	7
conceal	7
charge	7
amuse	7
procure	7
vent	7
traverse	7
hear	7
melt	7
revolve	7
re-cover	7
pant	7
infer	7
buy	7
produce	7
“have	7
confine	7
force	7
perform	7
flow	6
preach	6
rescue	6
hunt	6
pour	6
assume	6
protest	6
object	6
anticipate	6
astonish	6
delight	6
bestow	6
inform	6
dislike	6
sanction	6
awaken	6
disperse	6
please	6
support	6
quarrel	6
cheer	6
subside	6
convert	6
build	6
practise	6
hange	6
tire	6
elbow	6
toss	6
hoist	6
ridicule	6
overtake	6
ruin	6
shouldn’t	6
“are	6
wind	6
haven’t	6
kick	6
snatch	6
none	6
increase	6
conduct	6
situate	6
ignore	6
consult	6
escort	6
handle	6
excuse	6
dry	6
wrapped	6
beckon	6
scold	6
occasion	6
meddle	6
blame	6
terrify	6
respect	6
interview	6
soothe	6
swallow	6
hush	6
shrink	6
tremble	6
“thank	6
dive	6
supper	6
plunge	6
line	5
peal	5
dispose	5
conclusion	5
accustom	5
solicit	5
mock	5
except	5
reprove	5
picture	5
detect	5
rouse	5
subdue	5
whistle	5
exist	5
penetrate	5
deepen	5
spoil	5
forbid	5
tend	5
colour	5
last	5
administer	5
bid	5
doesn’t	5
grunt	5
fellow	5
recover	5
pardon	5
scatter	5
head	5
rejoice	5
confide	5
direct	5
spring	5
implant	5
alight	5
rob	5
wake	5
crowd	5
mingle	5
objection	5
conversation	5
help	5
undo	5
temper	5
decamp	5
clank	5
effect	5
furnish	5
survey	5
stagger	5
dine	5
elapse	5
attract	5
deprive	5
cost	5
glide	5
sail	5
step	5
devote	5
awake	5
promote	5
imply	5
debar	5
recollect	5
defy	5
extend	5
wail	5
