STATE
Evento_lema	Frecuencia
have	270
be	69
remain	32
hold	22
los	19
feel	13
glad	11
cost	9
own	7
serve	6
fair	6
relate	6
off	5
control	3
due	3
happy	3
war	3
capable	3
sure	3
better	3
live	3
thankful	2
good	2
likely	2
equal	2
enjoy	2
busy	2
affect	2
wait	2
successful	2
held	1
met.”	1
proud	1
luxuriant	1
agreeable	1
easy	1
deep	1
sick	1
uneasy	1
pleasant	1
heavy	1
absent	1
content	1
oblige	1
disappoint	1
insolent	1
caroline	1
presentable	1
intensity	1
cheeky	1
unnatural	1
part	1
powerles	1
observant	1
curiou	1
slow	1
quiet	1
competent	1
silent	1
owe	1
dead	1
hoarse	1
wrong	1
mad	1
open	1
cautiou	1
belong	1
worse	1
sorry	1
secure	1
vacant	1
convenient	1
difficulty	1
ill	1
wic	1
calm	1
mix	1
low	1
indulgent	1
fastidiou	1
honest	1
lack	1
rich	1
