I_ACTION
Evento_lema	Frecuencia
look	187
call	157
ask	136
try	121
help	65
promise	53
allow	50
mean	46
attempt	36
speak	32
fail	29
order	28
pray	26
press	23
offer	22
assure	22
seek	21
choose	20
declare	19
accept	18
touch	17
send	17
wonder	15
prevent	14
point	13
permit	13
doubt	12
claim	12
burn	11
intend	11
explain	11
avoid	10
manage	9
persuade	9
propose	9
pronounce	8
approach	8
agree	8
overcome	8
delay	8
establish	8
name	7
compel	7
conclude	7
face	7
clear	6
beat	6
pledge	6
appeal	5
decline	5
effort	5
insist	5
deny	5
show	5
describe	5
tear	4
forbid	4
bar	4
urge	4
serve	4
demand	4
threaten	4
recommend	4
deal	4
warn	4
regain	4
announce	3
request	3
state	3
suggest	3
catch	3
invite	3
decide	3
run	3
plead	3
ensure	3
force	2
guard	2
influence	2
pursue	2
block	2
hail	2
approve	2
rule	2
oppose	2
charge	2
convince	2
brim	2
postpone	2
attribute	2
promote	1
encouragement	1
require	1
allege	1
extend	1
complain	1
mount	1
resist	1
blame	1
estimate	1
determine	1
verify	1
predict	1
note	1
push	1
resolve	1
explore	1
aim	1
assume	1
denounce	1
assist	1
listen	1
