I_STATE
Evento_lema	Frecuencia
think	397
know	330
seem	169
believe	153
want	144
hope	76
like	75
expect	69
please	63
become	49
fear	41
appear	40
suppose	34
allow	28
help	21
wonder	20
prepare	18
surprise	18
consider	17
require	15
obtain	12
yield	11
stand	10
need	9
suspect	8
understand	7
intend	7
afraid	6
mean	6
commit	6
fail	5
concern	5
owe	5
entitle	4
face	4
shock	3
get	3
aware	3
close	3
regret	3
reluctant	2
aim	2
wait	2
keen	2
suggest	2
find	2
dismay	2
meet	2
anxiou	2
run	2
flap	1
presume	1
argue	1
value	1
approach	1
ai	1
tangle	1
comply	1
able	1
careful	1
wear	1
meddle	1
taste	1
learn	1
kiss	1
hate	1
stay	1
happy	1
care	1
snore	1
swear	1
forecast	1
thank	1
dependent	1
enable	1
perceive	1
'e	1
feel	1
burn	1
deprive	1
listen	1
unfair	1
rely	1
grudge	1
