OCCURRENCE
Evento_lema	Frecuencia
come	568
go	473
do	448
make	366
take	330
know	288
find	264
get	218
give	217
love	154
let	144
fall	143
look	133
left	128
put	125
turn	121
feel	118
cry	113
set	98
run	98
bring	95
sit	93
stand	93
kiss	90
leave	90
return	90
show	89
lay	87
talk	85
send	83
draw	79
wish	79
write	78
meet	78
die	74
pass	73
care	72
throw	71
break	69
hold	68
bear	68
layer	67
lose	66
carry	65
lead	63
catch	61
walk	59
wait	59
speak	59
round	58
forget	56
used	56
mean	55
rise	55
learn	55
leap	55
live	54
thank	54
work	53
save	53
grow	52
answer	51
strike	51
watch	48
move	48
beg	48
steal	48
change	47
dare	46
play	46
tremble	45
laugh	45
call	45
receive	43
remember	42
follow	42
shake	41
cut	41
understand	40
bless	40
lift	39
visit	38
spend	37
forgive	37
close	37
happen	36
smile	35
perceive	35
drop	35
fly	35
fling	34
sleep	34
search	34
lie	34
discover	33
cast	33
place	33
pull	32
kill	32
frighten	31
reach	30
form	30
win	30
prove	29
wear	29
born	29
whisper	29
paid	29
listen	28
examine	28
read	28
admire	28
hang	28
fear	27
hate	27
observe	27
weep	27
bound	27
force	26
rush	26
scorn	26
sell	26
shoot	25
cross	25
gaze	25
use	25
please	24
drink	24
long	24
hurry	24
lock	24
oblige	24
glide	23
become	23
stay	23
push	23
resolve	23
eat	22
fetch	22
raise	22
touch	22
present	22
dress	22
teach	21
beat	21
fix	21
stick	21
stoop	21
excuse	21
ride	20
dance	20
dream	20
marry	20
rob	20
enjoy	20
repeat	19
bend	19
kneel	19
despise	19
dash	19
trust	19
mind	19
tie	19
jump	18
sob	18
rang	18
death	18
remove	18
treat	18
succeed	18
drive	18
creep	18
settle	18
buy	18
pay	18
afford	18
cheat	18
depart	17
stare	17
deal	17
re-cover	17
glance	17
exclaim	17
murder	17
hide	16
mistake	16
pretend	16
flash	16
possess	16
refuse	16
address	16
roll	16
sail	16
attend	16
drag	16
secure	16
regard	16
sign	16
deserve	16
guess	16
delight	16
admit	15
los	15
restore	15
remind	15
trace	15
hurt	15
fight	15
cover	15
conceal	15
matter	15
spread	15
thrust	15
confess	15
bow	15
implore	15
deliver	15
clutch	14
mark	14
recover	14
shut	14
fill	14
fancy	14
wave	14
vex	14
suffer	14
insult	14
gather	14
spare	14
inquire	14
swear	14
grasp	13
wander	13
flow	13
hand	13
build	13
shed	13
seize	13
notice	13
relieve	13
burst	13
starve	13
astonish	13
amaze	13
command	13
crouch	13
describe	12
cease	12
grope	12
indulge	12
compare	12
open	12
grieve	12
incline	12
flutter	12
suppose	12
wind	12
bore	12
part	12
produce	12
arrange	12
fasten	12
rub	12
earn	12
fit	12
satisfy	12
belong	12
durst	11
kick	11
dwell	11
crawl	11
cause	11
wrong	11
nurse	11
rejoice	11
will	11
discovery	11
procure	11
consult	11
occupy	11
proceed	11
departure	11
knock	11
sing	11
pour	11
miss	11
burn	11
bed	11
reckon	11
introduce	11
cling	11
breathe	11
alter	11
coax	10
imagine	10
sound	10
act	10
withdraw	10
slip	10
paint	10
shrink	10
arrive	10
tear	10
escape	10
injure	10
stab	10
sprang	10
obey	10
offer	10
strive	10
blush	10
venture	10
behold	10
express	10
swing	10
clean	10
toss	10
be	10
judge	10
interview	9
shudder	9
clasp	9
sweep	9
awake	9
account	9
charge	9
dislike	9
conviction	9
count	9
lurk	9
depend	9
glisten	9
sink	9
contrive	9
suck	9
waste	9
snatch	9
quiver	9
light	9
retain	9
swallow	9
ai	9
tire	9
comfort	9
pick	9
require	9
harm	9
scold	8
scream	8
shine	8
freeze	8
confront	8
flee	8
pity	8
yield	8
dry	8
display	8
gleam	8
drown	8
plant	8
stir	8
ring	8
pack	8
quit	8
lean	8
create	8
apply	8
smoke	8
wipe	8
thrill	8
crush	8
owe	8
bury	8
prop	8
tempt	8
forsake	8
rest	8
offend	8
desire	8
exhibit	8
spell	8
hesitate	8
wag	8
warm	8
disturb	8
release	8
last	7
slide	7
struggle	7
neglect	7
descend	7
vanish	7
scatter	7
ensue	7
discharge	7
trouble	7
commence	7
dart	7
befall	7
advance	7
wash	7
blow	7
glare	7
affect	7
lit	7
join	7
travel	7
plenty	7
heart	7
wheel	7
pause	7
climb	7
defy	7
disappoint	7
mourn	7
lain	7
slay	7
manage	7
appreciate	7
determine	7
head	7
clap	7
jerk	7
exhaust	7
yearn	7
betray	7
divert	6
heed	6
hug	6
taste	6
flicker	6
stun	6
flurry	6
enter	6
peer	6
attach	6
revive	6
consist	6
stanch	6
replace	6
flit	6
provide	6
grant	6
advise	6
feign	6
gain	6
accustom	6
hush	6
lick	6
fold	6
rain	6
fade	6
handle	6
tumble	6
trial	6
sigh	6
obtain	6
startle	6
arise	6
prepare	6
fire	6
detest	6
zay	6
recognise	6
shade	6
rescue	6
exert	6
condemn	6
smell	6
lend	6
support	6
trot	6
labour	6
encourage	6
espy	6
mention	6
tuck	6
escap	6
resist	6
render	6
smelt	6
serve	6
prefer	6
pluck	6
avenge	6
entreat	6
reveal	6
wink	6
behave	6
double	6
droop	6
baffle	6
quench	6
kindle	6
appear	5
dispose	5
growth	5
attack	5
upset	5
ceremony	5
carve	5
stretch	5
pierce	5
acquaint	5
spy	5
stamp	5
employ	5
darken	5
convey	5
impair	5
float	5
detect	5
tread	5
copy	5
measure	5
honour	5
convince	5
develop	5
pursue	5
dispense	5
hiss	5
engage	5
crack	5
choke	5
leane	5
moan	5
pore	5
overpower	5
occur	5
dig	5
flush	5
crave	5
calm	5
puzzle	5
sneer	5
reduce	5
contain	5
maintain	5
curve	5
gie	5
boil	5
invest	5
spake	5
twitch	5
birth	5
glory	5
descry	5
suspect	5
throb	5
bloom	5
polish	5
detain	5
axe	5
spoil	5
back	5
excite	5
foot	5
scour	5
gratify	5
lower	5
tap	5
request	5
outrage	5
faint	5
christen	5
study	5
lecture	5
entertain	5
strap	5
boast	5
escort	5
blind	5
strain	5
beam	5
declare	5
administer	5
appoint	5
balance	5
sparkle	5
poison	5
ease	5
face	5
undertake	5
lash	5
weary	5
hit	5
overhang	4
congratulate	4
devour	4
linger	4
supply	4
interchange	4
creak	4
store	4
hint	4
traverse	4
shift	4
rear	4
shape	4
impress	4
survive	4
stricken	4
squeeze	4
seal	4
lessen	4
impart	4
assume	4
commend	4
forego	4
devote	4
conquer	4
gasp	4
wring	4
bite	4
resign	4
adorn	4
fed	4
brush	4
race	4
add	4
persist	4
atone	4
worship	4
march	4
endure	4
pan	4
speech	4
brace	4
increase	4
adopt	4
submit	4
soften	4
recount	4
entrust	4
curtsey	4
overtake	4
arl	4
sank	4
plough	4
larn	4
charm	4
frown	4
violence	4
triumph	4
chafe	4
roar	4
embrace	4
enable	4
have	4
deepen	4
totter	4
skate	4
interpret	4
rust	4
correct	4
respect	4
scratch	4
protest	4
wrapped	4
demand	4
wrestle	4
attract	4
deceive	4
disappear	4
deposit	4
whistle	4
sniff	4
edge	4
explain	4
shower	4
mutter	4
stuff	4
cure	4
extract	4
accomplish	4
glow	4
lodge	4
sew	4
heave	4
elapse	4
halter	4
suit	4
interrupt	4
justify	4
hover	4
cower	4
swim	4
pine	4
recovery	4
direct	4
trip	4
invent	4
enlarge	4
discuss	4
commit	4
whirl	4
rattle	4
yell	4
defend	4
risk	4
meddle	4
absorb	4
board	4
ruin	4
reconcile	4
echo	4
shriek	4
collect	4
relax	4
trample	4
refer	4
re-serve	4
moor	4
surprise	4
proclaim	4
bleed	4
destroy	4
pet	3
smooth	3
comb	3
resent	3
fidget	3
tease	3
expire	3
huddle	3
ooze	3
differ	3
inlay	3
battle	3
extend	3
rove	3
alarm	3
thwart	3
utter	3
veil	3
master	3
deign	3
damp	3
quicken	3
mumble	3
nestle	3
check	3
feather	3
improve	3
favour	3
step	3
confide	3
track	3
dissemble	3
embody	3
estrange	3
conceive	3
quarrel	3
lounge	3
pop	3
flag	3
hop	3
pant	3
stifle	3
grumble	3
splash	3
stream	3
abide	3
shatter	3
strew	3
attain	3
plot	3
quell	3
allay	3
guide	3
chill	3
confine	3
simper	3
thaw	3
perform	3
bate	3
assert	3
dismiss	3
disguise	3
contemplate	3
wound	3
warrant	3
ebb	3
pen	3
vow	3
ransack	3
plunge	3
divide	3
nail	3
banish	3
repress	3
argue	3
stammer	3
wor	3
fumble	3
poise	3
cleave	3
snap	3
refresh	3
dree	3
relent	3
maunder	3
shame	3
foresee	3
near	3
draft	3
embark	3
despatch	3
swoon	3
maze	3
exist	3
rally	3
pardon	3
protect	3
scent	3
abash	3
feed	3
encounter	3
cheer	3
tug	3
string	3
land	3
knit	3
lave	3
convict	3
bade	3
trim	3
criticise	3
clear	3
shout	3
remonstrate	3
cost	3
man	3
putt	3
saw	3
share	3
value	3
recede	3
daze	3
gossip	3
revisit	3
tip	3
shrug	3
flourish	3
temper	3
pat	3
reclaim	3
wend	3
jaw	3
mew	3
praise	3
identify	3
discourage	3
twist	3
curl	3
baint	3
ache	3
enclose	3
moralise	3
scowl	3
fawn	3
dread	3
conduct	3
desert	3
mount	3
unlock	3
mislead	3
frame	3
madden	3
exclude	3
betake	3
grudge	3
crisi	3
decide	3
invoke	3
combine	3
transfer	3
base	3
nod	3
spin	3
tighten	3
stagger	3
tow	3
commission	3
sneak	3
