STATE
Evento_lema	Frecuencia
have	204
be	32
own	27
hold	18
feel	16
remain	9
los	7
live	7
serve	6
glad	5
good	5
worth	4
afear	4
sure	3
enjoy	3
on	2
low	2
unknown	2
value	2
blind	2
control	2
cost	2
long	2
wrong	2
fair	2
war	2
bold	1
superstitiou	1
flaw	1
conviction	1
deep	1
responsible	1
offensive	1
hard	1
better	1
tall	1
wait	1
fool	1
impatient	1
part	1
belong	1
affect	1
heavy	1
happy	1
sorry	1
asleep	1
passive	1
owe	1
nigh	1
extravagant	1
fairer	1
false	1
old	1
likely	1
greater	1
spell	1
patient	1
indignant	1
clever	1
complete	1
round	1
consciou	1
reclad	1
out	1
compare	1
