I_ACTION
Evento_lema	Frecuencia
ask	194
look	167
try	134
help	98
call	87
accept	40
speak	37
attempt	36
promise	29
prevent	29
pray	25
persuade	25
agree	24
mean	23
avoid	21
allow	21
fail	21
press	21
send	21
assure	19
doubt	18
wonder	18
intend	16
declare	15
explain	15
offer	15
touch	15
claim	14
permit	14
choose	13
suggest	13
effort	13
seek	12
manage	11
propose	11
convince	11
decide	10
point	10
order	10
deny	10
approve	9
show	9
assist	8
recommend	8
describe	8
demand	8
assume	6
warn	6
establish	6
invite	6
support	6
plead	6
overcome	6
request	5
serve	5
name	5
insist	5
attribute	5
forbid	4
accuse	4
deal	4
urge	4
tear	4
beat	4
face	4
guard	4
burn	4
resist	4
direct	4
question	4
clear	4
appeal	4
pronounce	4
announce	3
concede	3
hail	3
arrange	3
blame	3
delay	3
conclude	3
catch	3
threaten	2
complain	2
acknowledge	2
avert	2
extend	2
estimate	2
push	2
allege	2
tolerate	2
reason	2
state	2
handle	2
explore	1
pursue	1
agreement	1
ignore	1
rule	1
engage	1
reject	1
brim	1
organize	1
negotiate	1
mount	1
investigate	1
compel	1
run	1
authorize	1
approach	1
