I_STATE
Evento_lema	Frecuencia
think	415
know	271
seem	240
want	159
like	144
believe	109
expect	73
become	58
consider	58
hope	49
suppose	42
appear	34
help	23
please	21
need	20
understand	19
prepare	18
fear	18
aware	17
require	11
concern	10
surprise	10
suspect	9
stand	9
wonder	9
allow	8
commit	7
afraid	6
mean	6
obtain	6
owe	6
able	5
enable	5
will	5
worry	4
yield	4
careful	4
rely	4
intend	4
fail	3
prefer	3
deprive	3
suggest	3
presume	3
close	3
get	2
reflect	2
comply	2
run	2
feel	2
constrain	2
anxiou	2
offensive	2
estimate	2
aim	1
turn	1
view	1
happy	1
notice	1
listen	1
shock	1
face	1
affect	1
wait	1
dine	1
sense	1
perceive	1
make	1
eager	1
seek	1
wish	1
confident	1
stay	1
suffer	1
unwil	1
sufficient	1
speculate	1
witness	1
involve	1
sleep	1
