STATE
Evento_lema	Frecuencia
have	300
be	59
hold	27
feel	22
remain	15
glad	12
good	8
live	7
due	7
mix	6
capable	6
war	5
cost	4
maintain	4
fair	4
own	4
los	4
likely	4
hath	3
worth	2
dead	2
affect	2
result	2
full	2
happy	2
ashame	2
content	2
sorry	2
tie	2
serve	2
difficulty	2
wrought	2
relate	2
welcome	1
ready	1
wait	1
liberal	1
expressive	1
intimate	1
ill	1
busy	1
wont	1
unmove	1
profitable	1
impend	1
delicate	1
troublesome	1
sure	1
quiet	1
innocent	1
open	1
lawful	1
eminent	1
equal	1
idiomatic	1
considerable	1
motherly	1
better	1
moderate	1
silent	1
sunny	1
independent	1
valid	1
cruel	1
interest	1
courageou	1
wise	1
worse	1
successful	1
sentimental	1
inevitable	1
perniciou	1
credulou	1
felicitou	1
represent	1
fresh	1
consciou	1
considerate	1
slow	1
plain	1
complete	1
restles	1
languid	1
delightful	1
desolate	1
