I_ACTION
Evento_lema	Frecuencia
ask	83
look	51
try	50
call	45
propose	22
assure	22
help	21
explain	19
fail	18
accept	17
attempt	15
promise	14
suggest	13
allow	12
doubt	10
avoid	10
approve	10
press	9
agree	9
speak	9
oppose	9
intend	8
send	8
urge	7
mean	7
recommend	7
point	6
prevent	6
deny	6
wonder	6
offer	6
overcome	5
influence	5
effort	5
approach	5
burn	4
conclude	4
permit	4
attribute	4
pray	4
acknowledge	4
insist	4
touch	4
convince	3
claim	3
assume	3
assist	3
decline	3
choose	3
seek	3
pledge	3
compel	3
announce	3
invite	2
name	2
apply	2
delay	2
manage	2
threaten	2
decide	2
direct	2
establish	2
guard	2
avert	2
face	2
describe	2
determine	2
opposed	1
demand	1
resist	1
state	1
clear	1
require	1
discuss	1
order	1
regain	1
tear	1
plead	1
request	1
forbid	1
arrange	1
explore	1
catch	1
serve	1
postpone	1
show	1
extend	1
notify	1
elect	1
mount	1
comment	1
persuade	1
ignore	1
beat	1
