I_STATE
Evento_lema	Frecuencia
think	227
know	140
want	89
seem	67
believe	53
suppose	39
consider	31
expect	31
like	30
hope	22
become	22
allow	18
wonder	15
suspect	13
appear	10
prepare	10
concern	8
owe	8
require	7
stand	6
understand	5
enable	5
surprise	5
fail	4
please	4
intend	4
achieve	4
obtain	4
anxiou	4
entitle	3
anticipate	3
regret	3
need	2
commit	2
deprive	2
control	2
find	2
help	2
involve	2
wait	2
approach	2
aware	2
afraid	2
listen	2
yield	2
appeared	1
prohibit	1
foresee	1
forget	1
provide	1
worry	1
suggest	1
rely	1
affect	1
subject	1
happy	1
fear	1
shock	1
meet	1
able	1
exert	1
condescend	1
stay	1
resent	1
qualify	1
mean	1
vary	1
run	1
constrain	1
get	1
plan	1
rich	1
sufficient	1
