OCCURRENCE
Evento_lema	Frecuencia
do	202
go	197
make	175
take	137
come	131
get	120
give	115
find	93
feel	67
put	60
look	57
know	46
turn	43
write	42
become	41
leave	40
let	39
bring	35
talk	35
meet	34
fall	29
left	28
remember	27
wish	27
pass	26
love	26
lose	24
understand	24
speak	23
return	23
suppose	22
pay	22
allude	21
forget	21
apply	21
throw	21
receive	21
marry	21
engage	21
carry	20
read	19
call	19
happen	19
arrive	18
walk	18
trust	18
interview	18
send	18
possess	17
draw	17
secure	17
sit	17
remark	17
rise	17
save	17
account	17
laugh	16
change	16
lead	16
speech	16
use	16
bound	16
stay	15
venture	15
follow	15
used	15
interrupt	15
place	15
act	15
care	15
discover	14
cause	14
strike	14
determine	14
imagine	14
oblige	14
sacrifice	14
show	13
form	13
belong	13
answer	13
induce	13
observe	13
live	13
produce	12
work	12
mean	12
prove	12
listen	12
describe	12
profess	12
devote	11
regard	11
move	11
drive	11
preach	11
catch	11
discuss	11
mind	11
arise	11
perceive	11
bear	11
refuse	11
hold	11
play	11
appear	10
run	10
watch	10
increase	10
stand	10
tremble	10
wait	10
satisfy	10
attach	10
display	10
arrange	10
enable	10
convert	9
deal	9
entertain	9
gaze	9
accompany	9
conceal	9
endeavour	9
enter	9
forgive	9
gain	9
overhear	9
depend	9
puzzle	9
conversation	9
acquire	9
vanish	8
render	8
occur	8
settle	8
rush	8
justify	8
congratulate	8
overwhelm	8
raise	8
exercise	8
lean	8
putt	8
suffer	8
cut	8
adopt	8
afford	8
retire	8
attend	8
contradict	8
admit	8
issue	7
dress	7
convey	7
treat	7
set	7
offer	7
introduce	7
pause	7
guess	7
fix	7
buy	7
accustom	7
break	7
sell	7
reduce	7
pull	7
blush	7
experience	7
expose	7
provide	7
ruin	7
suit	7
conceive	7
interfere	7
consist	7
announcement	7
actuate	7
calculate	6
desire	6
exhibit	6
spend	6
beg	6
join	6
burst	6
inform	6
knock	6
connect	6
grasp	6
fancy	6
cry	6
open	6
maintain	6
bury	6
stick	6
derive	6
absorb	6
involve	6
decide	6
lift	6
behave	6
crisi	6
breathe	6
succeed	6
lie	6
appreciate	6
advise	6
request	6
whisper	6
invent	6
drop	6
pervade	6
bore	6
part	6
round	6
elapse	5
represent	5
hesitate	5
bestow	5
yearn	5
contain	5
point	5
paid	5
wear	5
express	5
light	5
resist	5
realise	5
envy	5
learn	5
accomplish	5
prepare	5
furnish	5
bewilder	5
guide	5
characterise	5
excite	5
tear	5
undergo	5
repudiate	5
create	5
spare	5
fill	5
win	5
practise	5
imply	5
utter	5
impart	5
desert	5
reform	5
colour	5
prefer	5
seat	5
inflict	5
pour	5
wind	5
attack	5
owe	5
struggle	5
shut	5
stare	5
recognise	5
occupy	5
affect	5
delight	5
consent	5
stammer	5
collect	5
respond	5
pretend	5
greet	5
ignore	5
cease	5
consult	5
exchange	5
pen	4
undertake	4
advance	4
present	4
thrust	4
scramble	4
recount	4
shrink	4
assume	4
confide	4
retain	4
die	4
perform	4
commence	4
flatter	4
glance	4
tread	4
back	4
demoralise	4
please	4
refer	4
retort	4
substitute	4
extract	4
divide	4
object	4
manage	4
address	4
cure	4
frame	4
gather	4
mention	4
sigh	4
judge	4
insist	4
arrangement	4
combine	4
relieve	4
ring	4
shock	4
flash	4
deserve	4
embody	4
risk	4
destine	4
recover	4
decline	4
employ	4
operate	4
despise	4
waver	4
frighten	4
exhaust	4
dawn	4
enjoy	4
worship	4
doubt	4
resolution	4
dream	4
reflect	4
dread	4
smile	4
nod	4
astound	4
distinguish	4
sink	4
betray	4
clear	4
persist	4
resent	4
cherish	4
cast	4
paint	4
explain	4
lay	4
unite	4
alter	3
conviction	3
force	3
overflow	3
muse	3
publish	3
dash	3
commit	3
interest	3
wade	3
implore	3
quarrel	3
discovery	3
beware	3
neglect	3
emerge	3
acquaint	3
favour	3
advocate	3
preserve	3
suffuse	3
lower	3
dig	3
plunge	3
crowd	3
term	3
breakfast	3
illustrate	3
exist	3
lit	3
bed	3
recur	3
divert	3
tempt	3
thank	3
visit	3
stretch	3
encourage	3
detect	3
inspire	3
hurt	3
deceive	3
reveal	3
hurry	3
ally	3
misunderstand	3
sweep	3
repent	3
prompt	3
sob	3
weep	3
invade	3
support	3
disentangle	3
unravel	3
push	3
swim	3
dance	3
murmur	3
face	3
invite	3
revenge	3
escape	3
matter	3
amuse	3
spoil	3
cross	3
faint	3
trifle	3
threaten	3
awaken	3
condemn	3
govern	3
procure	3
precede	3
incline	3
squeeze	3
re-serve	3
paralyse	3
clasp	3
resort	3
comprehend	3
enclose	3
drag	3
startle	3
drink	3
poison	3
vow	3
triumph	3
incur	3
dare	3
