I_ACTION
Evento_lema	Frecuencia
look	125
ask	103
call	60
help	46
try	42
speak	28
seek	22
fail	20
choose	20
promise	18
mean	18
urge	17
offer	16
allow	15
accept	14
attempt	14
plead	13
claim	13
send	11
point	10
propose	10
declare	10
press	10
touch	10
appeal	9
deny	9
complain	8
explain	8
order	8
manage	8
wonder	8
show	7
delay	7
conclude	7
intend	7
assure	7
threaten	6
approach	6
warn	6
speculate	5
face	5
effort	5
agree	5
doubt	5
establish	5
catch	5
blame	4
convince	4
persuade	4
arrange	4
name	3
suggest	3
burn	3
state	3
accuse	3
serve	3
overcome	3
hail	3
question	3
resist	3
attribute	3
pronounce	3
decide	3
avoid	3
make	2
prevent	2
support	2
avert	2
pray	2
guard	2
pledge	2
elect	2
require	2
rule	2
invite	2
oppose	2
record	1
push	1
clear	1
decline	1
assist	1
recommend	1
approve	1
influence	1
estimate	1
postpone	1
assume	1
determine	1
permit	1
forbid	1
promote	1
mislead	1
acknowledge	1
explore	1
insist	1
deal	1
tear	1
