I_STATE
Evento_lema	Frecuencia
think	242
seem	171
know	128
want	63
like	51
become	39
believe	35
expect	27
hope	26
allow	26
appear	20
need	20
consider	20
suppose	16
prepare	14
wonder	14
fear	12
please	11
help	10
plan	8
yield	7
concern	7
aware	4
obtain	4
fail	4
unwil	4
understand	3
able	3
stay	3
suspect	3
commit	3
presume	2
face	2
mean	2
close	2
stand	2
will	2
meet	2
suffer	2
intend	2
worry	2
seemed	1
paint	1
faileth	1
speculate	1
deprive	1
view	1
wear	1
listen	1
get	1
oppose	1
regret	1
suggest	1
wish	1
sufficient	1
constrain	1
shock	1
approach	1
require	1
anxiou	1
afraid	1
achieve	1
find	1
involve	1
trespass	1
wait	1
