OCCURRENCE
Evento_lema	Frecuencia
go	458
come	418
take	297
make	240
do	203
give	161
look	151
find	145
feel	116
get	114
know	114
stand	106
turn	97
pass	91
speak	88
answer	87
return	84
hold	76
left	76
meet	76
rise	75
sit	69
fall	68
put	63
bring	62
let	62
love	60
leave	59
cry	59
carry	58
work	56
wait	55
suffer	49
lose	46
live	45
set	44
lead	44
wish	44
walk	43
change	43
follow	42
send	41
talk	40
drive	39
break	39
move	39
bear	39
layer	38
visit	37
care	36
lay	35
die	35
write	34
draw	33
marry	33
settle	33
watch	30
grow	30
throw	30
reach	30
laugh	29
read	29
rest	28
stay	28
whisper	28
smile	27
shake	27
wear	27
notice	27
save	27
remember	26
learn	26
run	25
lift	25
rouse	25
sleep	25
trust	24
catch	24
forget	23
satisfy	23
kiss	22
spend	22
engage	22
listen	22
show	21
close	21
raise	21
hide	20
understand	20
hasten	20
shut	20
happen	20
proceed	19
dress	19
mean	19
part	18
exclaim	18
receive	18
become	18
repeat	17
play	17
miss	17
desire	17
call	17
lie	17
comfort	17
refuse	17
murmur	17
sink	17
place	17
gain	16
utter	16
teach	16
used	16
eat	16
act	16
shine	15
present	15
bound	15
arrive	15
seat	15
weep	15
hurt	15
gather	15
share	15
flash	14
retire	14
cause	14
join	14
tremble	14
lean	14
fill	14
pay	14
admire	14
los	14
stretch	13
burst	13
address	13
clasp	13
departure	13
round	13
cease	13
bend	13
stir	13
thank	13
sail	13
advance	12
increase	12
fix	12
born	12
communicate	12
strike	12
enjoy	12
occupy	12
struggle	12
cross	12
belong	12
steal	11
win	11
use	11
explain	11
encounter	11
ride	11
sound	11
enter	11
resolve	11
accustom	11
detain	11
rejoin	11
pick	11
spare	11
accompany	11
delight	11
form	10
fight	10
pause	10
soften	10
long	10
hang	10
resent	10
slip	10
attract	10
drop	10
prefer	10
seize	10
regard	10
prove	10
astonish	10
light	9
hand	9
linger	9
await	9
pour	9
cut	9
spoil	9
kneel	9
sank	9
experience	9
confide	9
quarrel	9
discover	9
cover	9
ring	9
consist	9
fling	9
bow	9
obey	9
startle	9
determine	9
indulge	9
bore	8
hesitate	8
incline	8
prevail	8
account	8
occur	8
sweep	8
dread	8
blush	8
search	8
speech	8
quit	8
soothe	8
rush	8
drag	8
apply	8
offer	8
beg	8
pull	8
blow	8
introduce	8
observe	8
relieve	8
hate	8
glance	8
venture	8
nod	8
awaken	8
brighten	8
exhaust	8
treat	8
mutter	8
awake	8
have	8
preach	8
buy	8
bewilder	8
cast	7
retain	7
provide	7
contrive	7
discuss	7
strive	7
quench	7
beat	7
vex	7
bury	7
accomplish	7
wake	7
stoop	7
pace	7
stare	7
dismiss	7
open	7
gratify	7
toss	7
wander	7
pursue	7
content	7
disturb	7
oblige	7
paid	7
touch	7
resolution	7
realise	7
drink	7
escap	7
sing	7
float	7
check	7
perish	7
judge	7
tire	7
owe	6
admit	6
wave	6
anticipate	6
sprang	6
cling	6
sob	6
calm	6
remove	6
recall	6
favour	6
count	6
creep	6
tempt	6
chat	6
mind	6
gaze	6
remark	6
trouble	6
drown	6
fly	6
shrank	6
recover	6
mention	6
perform	6
dispose	6
ascertain	6
disregard	6
convey	6
disappear	6
suppose	6
spread	6
hurry	6
withdraw	6
bed	6
welcome	6
force	6
exalt	6
putt	6
conceal	6
breathe	6
weary	6
droop	6
deal	5
quiver	5
confine	5
shout	5
cool	5
depart	5
bestow	5
separate	5
build	5
ache	5
consult	5
possess	5
sell	5
convince	5
bid	5
arrange	5
concern	5
restrain	5
banish	5
excite	5
witness	5
wrapped	5
rejoice	5
imagine	5
rule	5
fret	5
vanish	5
prepare	5
plant	5
knock	5
grasp	5
encourage	5
conquer	5
worship	5
reveal	5
covet	5
strengthen	5
greet	5
travel	5
penetrate	5
deserve	5
express	5
tie	5
suppress	5
sympathise	5
absorb	5
restore	5
despise	5
sacrifice	5
exercise	5
thrust	5
wither	5
endure	5
require	5
confess	5
death	5
confront	5
breakfast	5
last	5
sang	5
drift	5
stream	4
produce	4
inspect	4
assemble	4
characterise	4
pain	4
bloom	4
bade	4
repress	4
hinder	4
efface	4
flow	4
sigh	4
lengthen	4
scatter	4
announcement	4
resist	4
perceive	4
burn	4
fit	4
suit	4
dismount	4
assent	4
guess	4
stagger	4
forgive	4
snatch	4
undergo	4
alight	4
wind	4
flight	4
crush	4
face	4
step	4
beckon	4
rattle	4
devote	4
fancy	4
matter	4
fade	4
swallow	4
reconcile	4
trial	4
attack	4
justify	4
contradict	4
groan	4
lower	4
inflict	4
escape	4
contain	4
conversation	4
precede	4
descend	4
