I_ACTION
Evento_lema	Frecuencia
help	30
call	29
look	27
ask	26
accept	22
speak	17
try	17
fail	11
pray	9
offer	7
mean	6
choose	6
seek	6
order	5
agree	5
doubt	4
denounce	4
promise	4
allow	4
point	4
attempt	3
warn	3
explain	3
urge	3
establish	3
tear	3
touch	2
send	2
deny	2
serve	2
plead	2
rule	2
clear	2
question	2
accuse	2
tried	1
blame	1
determine	1
forbid	1
reject	1
convince	1
reason	1
claim	1
mount	1
nullify	1
propose	1
effort	1
demand	1
oppose	1
manage	1
decide	1
assist	1
declare	1
name	1
head	1
prevent	1
complain	1
pledge	1
show	1
suggest	1
state	1
intend	1
influence	1
