I_ACTION
Evento_lema	Frecuencia
look	425
ask	201
call	187
try	157
speak	135
help	133
mean	69
choose	64
accept	61
pray	48
urge	47
offer	41
promise	39
allow	38
wonder	37
seek	35
show	35
intend	33
agree	31
avoid	30
order	27
press	26
propose	25
explain	25
touch	24
attempt	21
pronounce	21
send	21
assure	20
effort	19
recommend	18
insist	18
point	17
decline	17
invite	16
deny	16
demand	15
fail	15
declare	15
warn	15
approve	13
plead	13
serve	12
approach	12
conclude	12
appeal	12
accuse	12
prevent	12
state	11
decide	11
claim	11
allege	10
convince	10
attribute	10
persuade	10
suggest	10
forbid	10
determine	9
blame	9
oppose	9
complain	9
request	9
threaten	8
clear	8
face	8
overcome	7
establish	7
manage	6
nullify	6
assist	5
burn	5
doubt	5
resist	5
delay	5
question	5
arrange	5
name	4
deal	4
handle	4
compel	4
predict	4
pledge	4
acknowledge	4
aim	3
guard	3
explore	3
block	3
rumore	3
assume	3
avert	3
estimate	2
catch	2
engage	2
mount	2
extend	2
pursue	2
announce	2
influence	2
part	2
listen	2
permit	2
beat	1
hail	1
investigate	1
mislead	1
comment	1
design	1
support	1
dignify	1
cope	1
push	1
describe	1
hire	1
concede	1
proposal	1
organize	1
elect	1
make	1
speculate	1
verify	1
bar	1
set	1
regain	1
ignore	1
direct	1
discuss	1
authorize	1
