OCCURRENCE
Evento_lema	Frecuencia
make	962
go	954
come	795
do	737
take	646
give	506
get	467
feel	444
turn	329
find	317
know	269
speak	267
wish	260
look	232
put	201
marry	200
let	185
bring	185
talk	181
change	156
meet	154
carry	154
sit	152
left	138
walk	133
return	128
rise	128
leave	127
fall	123
used	120
show	118
write	118
set	116
hold	115
throw	109
pass	107
mean	103
work	99
draw	98
care	98
bear	97
use	96
stand	93
stay	91
imagine	90
pay	90
love	89
happen	89
move	88
observe	86
wait	86
read	85
visit	85
lose	82
understand	82
remember	80
answer	80
act	79
oblige	78
live	77
hinder	74
send	73
smile	72
regard	69
become	67
play	66
layer	65
mention	64
shake	64
drive	64
lead	62
pause	62
break	62
run	62
listen	61
seat	61
wear	60
mind	58
learn	57
determine	57
watch	56
spend	55
lie	53
cut	53
call	53
save	52
ride	50
lay	50
gather	50
speech	49
deal	49
laugh	49
fill	48
win	48
die	47
buy	46
putt	45
imply	45
enjoy	44
beg	44
raise	42
receive	42
forget	40
open	40
bound	40
refuse	39
settle	39
follow	38
trust	38
hurt	37
repeat	36
push	36
object	36
grow	36
desire	36
engage	35
suppose	35
present	35
behave	34
teach	34
drop	34
suit	33
reflect	33
reach	33
notice	32
offend	32
hang	32
fix	32
touch	32
dine	31
thank	31
refer	31
cry	31
lean	31
pull	30
occur	30
satisfy	30
paid	30
incline	30
cast	30
prefer	30
form	29
interfere	29
cause	29
round	29
bow	29
mark	29
spare	29
utter	29
attend	28
bend	28
lift	28
thrust	28
strike	28
dislike	28
check	28
manage	28
confess	28
count	27
close	27
represent	27
deliver	27
place	27
sell	26
enter	26
please	26
excuse	26
arrive	26
convince	26
admit	26
dispose	26
quit	26
offer	25
apply	25
slip	25
examine	25
stir	25
dwell	24
admire	24
belong	24
advance	24
disappoint	24
occupy	24
recognize	24
connect	24
shrank	24
vote	24
force	24
born	23
catch	23
fit	23
study	23
cease	23
struggle	23
shrink	23
eat	23
part	23
treat	22
inquire	22
secure	22
accompany	22
judge	22
annoy	22
mistake	22
defer	22
justify	21
tremble	21
account	21
action	21
support	21
pretend	21
conversation	21
hand	21
conceive	21
kiss	21
stretch	21
foresee	21
rest	21
express	21
suffer	21
gain	20
dread	20
divide	20
accustom	20
perceive	20
require	20
pour	20
rouse	20
address	20
nod	20
betray	20
interview	20
produce	20
fetch	20
sink	19
blush	19
occasion	19
interpret	19
afford	19
spoil	19
invite	19
linger	19
adjust	19
cling	19
dare	19
undertake	18
shut	18
hasten	18
contradict	18
consent	18
consult	18
quarrel	18
mingle	18
encourage	18
forgive	18
create	18
resolve	18
withdraw	18
disturb	18
discuss	17
discern	17
bore	17
supply	17
cross	17
stick	17
alter	17
experience	17
entertain	17
sleep	17
beat	16
measure	16
colour	16
furnish	16
pick	16
stare	16
introduce	16
arrest	16
decision	16
bury	16
leane	16
agitate	16
preach	16
excite	16
increase	16
submit	16
prove	16
hate	16
paint	16
dismiss	16
enable	16
long	16
differ	15
travel	15
delight	15
spread	15
question	15
master	15
rub	15
remark	15
sing	15
recover	15
await	15
prepare	15
relieve	15
hide	15
bless	15
death	15
drink	15
fold	15
burst	15
have	15
appear	15
request	15
free	15
burn	14
share	14
decide	14
educate	14
renounce	14
glance	14
arrange	14
tread	14
serve	14
absorb	14
reckon	14
dress	14
vex	14
depend	14
affect	14
reduce	14
seize	14
warrant	14
