I_STATE
Evento_lema	Frecuencia
think	372
know	240
seem	184
become	170
believe	107
want	84
appear	63
hope	62
suppose	57
consider	57
allow	47
need	41
please	37
expect	37
like	35
obtain	31
understand	29
fear	29
presume	25
require	21
suspect	17
achieve	17
fail	17
surprise	16
owe	16
commit	15
prepare	15
aware	13
wonder	13
seek	13
stand	12
meet	11
concern	9
face	8
yield	8
mean	8
help	8
plan	7
shock	6
anticipate	6
approach	6
listen	5
find	4
suggest	4
feel	4
estimate	4
deprive	4
subject	3
realize	3
affect	3
regret	3
view	3
able	3
enable	3
oppose	3
smoke	2
foresee	2
assure	2
admit	2
suffer	2
reflect	2
entitle	2
unfair	2
cautiou	2
will	2
constrain	2
sufficient	2
dream	1
dismay	1
perceive	1
agreement	1
aim	1
happy	1
unhappy	1
authorize	1
learn	1
conjecture	1
stay	1
expose	1
repeat	1
involve	1
pretend	1
win	1
discord	1
torture	1
intend	1
burn	1
difficult	1
recollect	1
rely	1
agree	1
confident	1
doubt	1
sin	1
relent	1
reserve	1
anxiou	1
consent	1
close	1
