OCCURRENCE
Evento_lema	Frecuencia
take	396
make	383
come	333
find	305
go	294
do	287
give	285
left	193
know	160
feel	158
meet	154
pass	148
turn	142
speak	141
love	137
return	135
talk	130
write	125
bring	112
receive	111
become	106
change	101
marry	98
leave	97
get	95
cry	94
rise	90
put	90
place	87
lose	87
draw	87
visit	85
read	81
wish	79
answer	77
live	76
look	75
let	75
remember	74
fall	73
send	73
quit	72
lead	70
pay	67
seat	65
forget	64
save	63
listen	59
arrive	57
die	56
refuse	56
strike	55
set	55
address	53
admit	52
walk	52
belong	52
dine	50
gain	50
call	49
hold	49
pause	48
form	47
stand	47
conceive	47
close	46
understand	46
guess	46
win	44
discover	44
render	44
don’t	43
offer	43
grow	43
deem	43
learn	43
move	42
join	42
break	42
paid	41
admire	40
carry	40
buy	40
born	40
follow	40
desire	40
sell	39
pardon	39
devote	39
succeed	39
care	39
wear	38
raise	38
utter	38
fight	38
cease	38
catch	37
engage	37
shake	37
observe	37
present	37
comprehend	37
dress	36
exclaim	36
introduce	36
trust	36
notice	36
gaze	36
retain	36
secure	36
fix	36
commence	35
seize	35
attend	35
judge	35
inspire	35
accompany	35
smile	34
honour	34
reach	34
suffice	34
play	34
glance	33
show	33
wait	33
bow	33
remove	33
recognize	33
mean	33
ascertain	33
conceal	32
round	32
vanish	32
run	32
destroy	32
laugh	30
share	30
venture	30
recognise	30
resign	29
owe	29
conversation	29
mutter	28
grant	28
add	28
employ	28
throw	28
bear	28
spend	28
withdraw	28
furnish	27
increase	27
murmur	27
divine	27
command	27
repeat	26
thank	26
create	26
serve	25
confide	25
affect	25
occupy	25
rest	25
dare	25
attach	25
startle	25
gather	25
prove	24
descend	24
settle	24
encounter	24
distinguish	24
bend	24
imagine	24
death	24
absorb	24
convey	24
induce	23
flatter	23
light	23
mistake	23
lodge	23
request	23
apply	23
happen	23
dispose	23
impress	23
use	23
express	23
suppose	23
sign	23
preserve	22
inquire	22
drop	22
dismiss	22
forbid	22
obey	22
undertake	21
enjoy	21
restore	21
impose	21
alter	21
improve	21
charm	21
justify	21
regard	21
consult	21
revolution	21
lay	21
kiss	21
desert	21
decline	21
excite	21
whisper	21
detect	21
produce	21
unite	21
reconcile	20
confess	20
lift	20
supply	20
hurry	20
contain	20
converse	20
stay	20
resolve	20
sigh	20
disappear	20
select	20
despise	20
represent	20
suffer	20
wound	20
submit	19
imply	19
compose	19
spare	19
separate	19
check	19
teach	19
fancy	19
depart	19
interrupt	19
treat	18
cut	18
retire	18
cover	18
inform	18
borrow	18
mention	18
connect	18
advise	18
escap	18
proceed	18
defend	18
invite	18
work	18
sale	18
adopt	18
prefer	18
cast	18
discuss	18
dream	18
satisfy	18
bid	18
sit	18
question	18
watch	18
steal	18
acquire	17
forgive	17
bound	17
lean	17
colour	17
los	17
discovery	17
search	17
respect	17
evince	17
accustom	17
part	17
interview	17
act	17
attract	17
sing	17
court	17
advance	17
excuse	17
recoil	17
extend	17
insult	17
refer	16
can’t	16
oblige	16
arrange	16
bestow	16
invest	16
content	16
used	16
proclaim	16
bequeath	16
incur	16
lend	16
contrive	16
instruct	16
entertain	16
exchange	16
escape	16
expose	15
build	15
glide	15
accost	15
clasp	15
calculate	15
blame	15
force	15
educate	15
reside	15
cross	15
suit	15
survive	15
detain	15
condescend	15
communicate	15
battle	15
shrink	15
meditate	15
drive	15
shoot	15
excel	15
ruin	15
enter	15
please	15
weep	15
hasten	15
praise	15
shrank	15
necessitate	15
fly	15
assume	15
deal	15
retreat	15
cherish	15
transfer	14
beg	14
suppress	14
contemplate	14
fit	14
describe	14
repair	14
volunteer	14
afford	14
injure	14
struggle	14
open	14
trouble	14
renounce	14
confine	14
aspire	14
strive	14
combine	14
re-cover	14
speech	14
support	14
brighten	14
hand	14
layer	14
recollect	14
exhibit	13
invent	13
reduce	13
last	13
constitute	13
summons	13
bury	13
deserve	13
conjecture	13
provide	13
pain	13
favour	13
ceremony	13
estrange	13
beat	13
rejoice	13
study	13
muse	13
disturb	13
rush	13
fill	13
reflect	13
banish	13
merge	13
perceive	13
relinquish	13
behold	13
cause	13
esteem	13
reappear	13
indulge	12
pretend	12
betray	12
incline	12
disguise	12
linger	12
envy	12
burst	12
free	12
fling	12
cling	12
aid	12
count	12
rouse	12
redeem	12
pick	12
hesitate	12
bade	12
encourage	12
console	12
forsake	12
soften	12
obtain	12
adore	12
wind	12
offend	12
pity	12
deceive	12
drink	12
acquaint	11
denounce	11
exclude	11
stretch	11
interest	11
amuse	11
condemn	11
welcome	11
direct	11
appreciate	11
stir	11
conquer	11
crown	11
insure	11
heart	11
grieve	11
recover	11
contract	11
trace	11
mind	11
commit	11
subject	11
puzzle	11
train	11
exist	11
sank	11
rebuke	11
perplex	11
dictate	11
contribute	11
burn	11
remind	11
announcement	11
emerge	10
heed	10
rear	10
assign	10
charge	10
extract	10
consent	10
decorate	10
attain	10
greet	10
gratify	10
discharge	10
embrace	10
pour	10
inherit	10
lie	10
release	10
quarrel	10
tempt	10
frequent	10
maintain	10
repute	10
intrust	10
relieve	10
hate	10
appear	10
disperse	10
scold	10
kill	10
flee	10
possess	10
dislike	10
occur	10
push	10
entreat	10
fascinate	10
argue	10
breathe	10
wake	10
sadden	10
alarm	10
chance	9
purchase	9
link	9
merit	9
flow	9
inscribe	9
sprang	9
pinch	9
yield	9
attack	9
stare	9
covet	9
enable	9
divide	9
behave	9
sacrifice	9
enrich	9
pull	9
arrest	9
long	9
lower	9
adorn	9
derive	9
examine	9
convince	9
sound	9
reply	9
deliver	9
repay	9
compromise	9
interpose	9
overhear	9
compare	9
drag	9
name	9
assemble	9
kneel	9
mingle	9
reproach	9
profess	9
neglect	9
touch	9
await	9
resent	9
retract	9
replace	9
exhaust	9
founder	8
identify	8
halter	8
determine	8
launch	8
conduct	8
revere	8
flash	8
exceed	8
nurse	8
rob	8
breed	8
shrug	8
efface	8
frighten	8
ascend	8
sleep	8
cheat	8
travel	8
blush	8
rejoin	8
humble	8
dance	8
comfort	8
revive	8
acquit	8
decide	8
boast	8
publish	8
deepen	8
dread	8
conviction	8
cultivate	8
dispel	8
ascribe	8
putt	8
resist	8
action	8
institute	8
single	8
woo	8
sting	8
wed	8
comprise	8
collect	8
falter	8
solicit	8
chafe	8
recall	8
crowd	7
concentrate	7
sink	7
consist	7
deign	7
haunt	7
departure	7
endure	7
transmit	7
practise	7
waste	7
imbibe	7
guide	7
strengthen	7
expand	7
occasion	7
inflict	7
confer	7
swallow	7
defy	7
explain	7
object	7
compel	7
achieve	7
vie	7
reveal	7
exercise	7
resemble	7
brood	7
provoke	7
hint	7
crisi	7
impel	7
interpret	7
exaggerate	7
shut	7
confuse	7
be	7
contrast	7
correspond	7
imitate	7
twist	7
miss	7
refine	7
“and	7
sweep	7
assail	7
elevate	7
regulate	7
hazard	7
