I_ACTION
Evento_lema	Frecuencia
ask	154
look	82
try	81
speak	42
call	36
help	34
accept	26
attempt	26
fail	21
offer	20
approach	19
touch	18
warn	16
point	15
explain	14
promise	12
effort	12
wonder	11
propose	11
doubt	11
suggest	11
send	10
permit	9
assure	9
persuade	9
decide	9
acknowledge	8
delay	8
agree	7
pray	7
press	7
face	6
question	6
invite	5
approve	5
seek	5
name	5
establish	5
plead	5
claim	5
recommend	5
resist	5
appeal	5
show	4
mean	4
decline	4
describe	4
assist	4
insist	4
urge	3
conclude	3
announce	3
pronounce	3
prevent	3
order	3
pursue	3
beat	3
allow	3
request	3
attribute	3
pledge	3
determine	3
record	2
predict	2
choose	2
tear	2
deny	2
deal	2
declare	2
serve	2
arrange	2
regain	2
assume	2
intend	2
engage	2
direct	1
compel	1
clear	1
convince	1
explore	1
mount	1
prepare	1
forbid	1
demand	1
accuse	1
resolve	1
extend	1
mislead	1
hail	1
speculate	1
control	1
hire	1
complain	1
reject	1
burn	1
