I_STATE
Evento_lema	Frecuencia
think	139
know	92
believe	52
want	45
appear	41
seem	41
become	33
expect	29
hope	23
like	15
please	14
consider	13
wonder	12
understand	12
owe	9
stand	9
help	8
aware	8
fail	8
suppose	7
concern	7
approach	7
face	6
meet	6
fear	6
close	5
able	5
commit	4
obtain	4
plan	4
suffer	3
allow	3
suspect	3
need	3
find	3
require	3
prepare	3
rely	2
favor	2
anticipate	2
surprise	2
afraid	2
suggest	2
reach	2
estimate	2
wait	2
pleased	1
unwil	1
view	1
regret	1
presume	1
deprive	1
sit	1
mean	1
yield	1
eager	1
favore	1
careful	1
loom	1
hesitate	1
dream	1
love	1
realize	1
kiss	1
aspire	1
affect	1
