I_ACTION
Evento_lema	Frecuencia
ask	248
look	202
try	65
call	54
help	40
prevent	26
speak	25
pray	18
offer	17
attempt	15
press	15
seek	14
promise	14
face	14
explain	13
allow	13
approach	13
accept	11
avoid	11
order	10
delay	10
fail	10
wonder	9
choose	9
decide	8
doubt	8
compel	8
mean	8
permit	8
effort	8
appeal	8
catch	8
tear	8
request	8
assure	7
burn	7
propose	7
complain	6
insist	6
arrange	6
blame	6
agree	5
point	5
assume	5
warn	5
claim	5
pronounce	5
invite	5
oppose	4
avert	4
forbid	4
suggest	4
urge	4
establish	4
touch	4
persuade	4
recommend	3
explore	3
beat	3
intend	3
deal	3
hail	3
elect	3
manage	2
announce	2
aim	2
run	2
investigate	2
handle	2
show	2
clear	2
pursue	2
direct	2
require	2
influence	2
threaten	2
extend	2
ensure	2
decline	2
block	2
name	2
cleared	1
disclose	1
speculate	1
control	1
attribute	1
question	1
overcome	1
accuse	1
regain	1
assist	1
demand	1
push	1
note	1
deny	1
promote	1
send	1
convince	1
plead	1
support	1
record	1
serve	1
resist	1
notify	1
describe	1
reject	1
