I_STATE
Evento_lema	Frecuencia
think	295
know	158
seem	103
want	59
expect	55
hope	52
like	42
believe	40
suppose	35
stand	31
wonder	30
find	27
allow	27
appear	24
aware	18
need	16
please	15
consider	13
surprise	13
meet	12
suspect	9
help	8
face	8
suggest	8
require	7
mean	7
fear	6
understand	6
fail	6
aim	5
afraid	5
become	5
feel	5
prepare	4
yield	4
qualify	4
seek	4
reach	4
able	4
plan	4
commit	4
regret	4
obtain	3
concern	3
prohibit	3
reflect	3
affect	3
anxiou	2
approach	2
unwil	2
comply	2
speculate	2
thinking	1
deprive	1
wish	1
run	1
accomplish	1
listen	1
toss	1
worry	1
sit	1
constrain	1
subject	1
admire	1
intend	1
owe	1
amuse	1
comment	1
realize	1
cease	1
get	1
dog	1
anticipate	1
quiver	1
attribute	1
distract	1
careful	1
rely	1
reluctant	1
flinch	1
reserve	1
resemble	1
presume	1
